Time,"Large Residential, Convenience Charging","Large Residential, Highway Fast Charging","Large Residential, Vehicle to Home - home energy system","Large Residential, Vehicle to Home / Vehicle to Grid - vehicle charging","Large Residential, Coordinated Charging","Medium Residential, Convenience Charging","Medium Residential, Highway Fast Charging","Medium Residential, Vehicle to Home - home energy system","Medium Residential, Vehicle to Home / Vehicle to Grid - vehicle charging","Medium Residential, Coordinated Charging","Small Residential, Convenience Charging","Small Residential, Highway Fast Charging","Small Residential, Vehicle to Home - home energy system","Small Residential, Vehicle to Home / Vehicle to Grid - vehicle charging","Small Residential, Coordinated Charging"
0:00,0.1,0.22,-0.55,0.1,0.042067308,0.07,0.15,-0.55,0.07,0.042067308,0.05,0.11,-0.55,0.05,0.042067308
0:30,0.09,0.18,-0.45,0.09,0.036057692,0.06,0.13,-0.45,0.06,0.036057692,0.04,0.09,-0.45,0.04,0.036057692
1:00,0.08,0.14,-0.38,0.08,0.03125,0.05,0.1,-0.38,0.05,0.03125,0.04,0.07,-0.38,0.04,0.03125
1:30,0.07,0.09,-0.39,0.07,0.028846154,0.05,0.06,-0.39,0.05,0.028846154,0.03,0.04,-0.39,0.03,0.028846154
2:00,0.06,0.03,-0.34,0.06,0.027644231,0.04,0.02,-0.34,0.04,0.027644231,0.03,0.02,-0.34,0.03,0.027644231
2:30,0.05,0.02,-0.36,0.05,0.021634615,0.04,0.01,-0.36,0.04,0.021634615,0.02,0.01,-0.36,0.02,0.021634615
3:00,0.05,0,-0.43,0.05,0.020432692,0.03,0,-0.43,0.03,0.020432692,0.02,0,-0.43,0.02,0.020432692
3:30,0.04,0.01,-0.43,0.04,0.018028846,0.03,0.01,-0.43,0.03,0.018028846,0.02,0.01,-0.43,0.02,0.018028846
4:00,0.03,0.03,-0.46,0.03,0.015625,0.02,0.02,-0.46,0.02,0.015625,0.02,0.01,-0.46,0.02,0.015625
4:30,0.03,0.1,-0.48,0.03,0.012019231,0.02,0.07,-0.48,0.02,0.012019231,0.01,0.05,-0.48,0.01,0.012019231
5:00,0.03,0.18,-0.53,0.03,0.009615385,0.02,0.13,-0.53,0.02,0.009615385,0.01,0.09,-0.53,0.01,0.009615385
5:30,0.02,0.29,-0.51,0.02,0.008413462,0.02,0.2,-0.51,0.02,0.008413462,0.01,0.14,-0.51,0.01,0.008413462
6:00,0.02,0.4,-0.55,0.02,0.006009615,0.01,0.27,-0.55,0.01,0.006009615,0.01,0.19,-0.55,0.01,0.006009615
6:30,0.07,0.43,-0.45,0.07,0.006009615,0.05,0.29,-0.45,0.05,0.006009615,0.03,0.2,-0.45,0.03,0.006009615
7:00,0.12,0.46,0.1,0.12,0.007211538,0.08,0.32,0.1,0.08,0.007211538,0.06,0.22,0.1,0.06,0.007211538
7:30,0.14,0.47,0.53,0.14,0.008413462,0.09,0.32,0.53,0.09,0.008413462,0.06,0.22,0.53,0.06,0.008413462
8:00,0.15,0.49,1.21,0.15,0.010817308,0.1,0.33,1.21,0.1,0.010817308,0.07,0.23,1.21,0.07,0.010817308
