Time,"Large Residential, Convenience Charging","Large Residential, Highway Fast Charging","Large Residential, Vehicle to Home - home energy system","Large Residential, Vehicle to Home / Vehicle to Grid - vehicle charging","Large Residential, Coordinated Charging","Medium Residential, Convenience Charging","Medium Residential, Highway Fast Charging","Medium Residential, Vehicle to Home - home energy system","Medium Residential, Vehicle to Home / Vehicle to Grid - vehicle charging","Medium Residential, Coordinated Charging","Small Residential, Convenience Charging","Small Residential, Highway Fast Charging","Small Residential, Vehicle to Home - home energy system","Small Residential, Vehicle to Home / Vehicle to Grid - vehicle charging","Small Residential, Coordinated Charging"
0:00,0.08,0.18,-0.55,0.08,0.042067308,0.05,0.13,-0.55,0.05,0.042067308,0.04,0.09,-0.55,0.04,0.042067308
0:30,0.07,0.15,-0.45,0.07,0.036057692,0.05,0.1,-0.45,0.05,0.036057692,0.03,0.07,-0.45,0.03,0.036057692
1:00,0.06,0.12,-0.38,0.06,0.03125,0.04,0.08,-0.38,0.04,0.03125,0.03,0.06,-0.38,0.03,0.03125
1:30,0.06,0.07,-0.39,0.06,0.028846154,0.04,0.05,-0.39,0.04,0.028846154,0.03,0.03,-0.39,0.03,0.028846154
2:00,0.05,0.03,-0.34,0.05,0.027644231,0.03,0.02,-0.34,0.03,0.027644231,0.02,0.01,-0.34,0.02,0.027644231
2:30,0.04,0.01,-0.36,0.04,0.021634615,0.03,0.01,-0.36,0.03,0.021634615,0.02,0.01,-0.36,0.02,0.021634615
3:00,0.04,0,-0.43,0.04,0.020432692,0.03,0,-0.43,0.03,0.020432692,0.02,0,-0.43,0.02,0.020432692
3:30,0.03,0.01,-0.43,0.03,0.018028846,0.02,0.01,-0.43,0.02,0.018028846,0.02,0.01,-0.43,0.02,0.018028846
4:00,0.03,0.02,-0.46,0.03,0.015625,0.02,0.02,-0.46,0.02,0.015625,0.01,0.01,-0.46,0.01,0.015625
4:30,0.02,0.09,-0.48,0.02,0.012019231,0.02,0.06,-0.48,0.02,0.012019231,0.01,0.04,-0.48,0.01,0.012019231
5:00,0.02,0.15,-0.53,0.02,0.009615385,0.01,0.1,-0.53,0.01,0.009615385,0.01,0.07,-0.53,0.01,0.009615385
5:30,0.02,0.24,-0.51,0.02,0.008413462,0.01,0.16,-0.51,0.01,0.008413462,0.01,0.11,-0.51,0.01,0.008413462
6:00,0.02,0.33,-0.55,0.02,0.006009615,0.01,0.23,-0.55,0.01,0.006009615,0.01,0.16,-0.55,0.01,0.006009615
6:30,0.06,0.35,-0.45,0.06,0.006009615,0.04,0.24,-0.45,0.04,0.006009615,0.03,0.17,-0.45,0.03,0.006009615
7:00,0.1,0.38,0.1,0.1,0.007211538,0.07,0.26,0.1,0.07,0.007211538,0.05,0.18,0.1,0.05,0.007211538
7:30,0.11,0.39,0.53,0.11,0.008413462,0.08,0.27,0.53,0.08,0.008413462,0.05,0.19,0.53,0.05,0.008413462
8:00,0.13,0.4,1.21,0.13,0.010817308,0.09,0.28,1.21,0.09,0.010817308,0.06,0.19,1.21,0.06,0.010817308
8:30,0.18,0.4,1.28,0.23,0.012019231,0.12,0.28,1.28,0.16,0.012019231,0.08,0.19,1.28,0.11,0.012019231
