Time,Coordinated Charging - Day Peak,Coordinated Charging - Day and Night Peaks
0:00,0.00575374,0.042067308
0:30,0.004602992,0.036057692
1:00,0.004602992,0.03125
1:30,0.003452244,0.028846154
2:00,0.003452244,0.027644231
2:30,0.002301496,0.021634615
3:00,0.002301496,0.020432692
3:30,0.002301496,0.018028846
4:00,0.002301496,0.015625
4:30,0.001150748,0.012019231
5:00,0.001150748,0.009615385
5:30,0.001150748,0.008413462
6:00,0.001150748,0.006009615
6:30,0.003452244,0.006009615
7:00,0.006904488,0.007211538
7:30,0.006904488,0.008413462
8:00,0.008055236,0.010817308
8:30,0.014959724,0.012019231
9:00,0.021864212,0.016826923
9:30,0.04027618,0.018028846
10:00,0.058688147,0.025240385
10:30,0.069044879,0.030048077
11:00,0.080552359,0.03125
11:30,0.085155351,0.032451923
12:00,0.090909091,0.032451923
12:30,0.085155351,0.033653846
13:00,0.080552359,0.032451923
13:30,0.069044879,0.032451923
14:00,0.058688147,0.030048077
14:30,0.04027618,0.026442308
15:00,0.021864212,0.013221154
15:30,0.014959724,0.006009615
16:00,0.006904488,0.006009615
16:30,0.006904488,0.006009615
17:00,0.006904488,0.006009615
17:30,0.006904488,0.006009615
18:00,0.006904488,0.006009615
18:30,0.006904488,0.006009615
19:00,0.006904488,0.004807692
19:30,0.006904488,0.004807692
20:00,0.006904488,0.003605769
20:30,0.006904488,0.003605769
21:00,0.006904488,0.045673077
21:30,0.006904488,0.042067308
22:00,0.006904488,0.046875
22:30,0.00575374,0.044471154
23:00,0.00575374,0.044471154
23:30,0.00575374,0.040865385
