region,Resource,Zone,Existing_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Ramp_Up_Percentage,Ramp_Dn_Percentage,Existing_Cap_MWh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,New_Build,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Resource_Type,THERM,Fuel,FLEX,VRE,MUST_RUN,Num_VRE_Bins,HYDRO,STOR,Min_Duration,Max_Duration,Existing_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh_In,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Min_Power,Self_Disch,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,cluster,LDS,ESR_1,MinCapTag_1,MinCapTag_2,MinCapTag_3,MinCapTag_4,MinCapTag_5,MinCapTag_6,MinCapTag_7,Rsv_Cost,Reg_Max,Rsv_Max
QLD,QLD_coal,1,8126,59435.95111,55495,4.395,8.68183957,0.783920946,0.783920946,0,0,0,1,1,0,1,-1,-1,0,0,coal,1,Coal_QLD,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,70,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
QLD,QLD_coal_ccs,1,0,186922.2867,80660,8.24,13.56227566,0.655215496,0.6435922,0,0,0,1,1,0,1,-1,-1,0,0,coal_ccs,1,Coal_QLD_ccs,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,70,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
QLD,QLD_CCGT,1,1597.9,45229.95833,11160.2644,5.786069469,7.459748243,2.488587721,2.488587721,0,0,0,1,1,0,1,-1,-1,0,0,ccgt,1,Gas_QLD_CCGT,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,70,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
QLD,QLD_CCGT_CCS,1,0,113334.9333,16950.26224,7.4664,8.464518732,1.768157174,2.114311021,0,0,0,1,1,0,1,-1,-1,0,0,ccgt_ccs,1,Gas_QLD_CCGT_ccs,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,70,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
QLD,QLD_OCGT,1,1988.5,31178.60833,13858.96364,7.210920354,10.58658097,1.768157174,2.114311021,0,0,0,1,1,0,1,-1,-1,0,0,ocgt,1,Gas_QLD_OCGT,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,70,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
QLD,QLD_wind,1,826.408,62327.46748,26705.05604,0,0,1,1,0,0,0,1,1,0,1,-1,-1,0,0,wind_util,0,None,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
QLD,QLD_solar,1,1798.627,27565.16099,18148.75609,0,0,1,1,0,0,0,1,1,0,1,-1,-1,0,0,solar_util,0,None,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
QLD,QLD_biomass,1,0,254312.0333,136431.4685,8.73154,13.73609597,0.655215496,0.6435922,0,0,0,1,1,0,1,-1,-1,0,0,Biomass,1,Biomass,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,70,0,0,4,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
QLD,QLD_hydro,1,0,0,61140,7.55,0,1,1,0,0,0,1,1,0,-1,0,0,0,0,hydro,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
QLD,QLD_PHES,1,740,42081.03338,16790,0,0,1,1,6770,914.3725803,0,0.76,1,0,1,-1,-1,0,0,PHES,0,None,0,0,0,0,0,1,8,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
QLD,QLD_battery,1,100,15406.4125,3539.985119,0,0,1,1,150,5680.455556,3228.670635,0.91675,0.91675,0,1,-1,-1,0,0,battery_util,0,None,0,0,0,0,0,1,1,8,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
