Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,0,1,0,2000,1,8760,1,1,12186.55779
,,,,,,,,2,11904.16406
,,,,,,,,3,11578.71417
,,,,,,,,4,11452.34236
,,,,,,,,5,11366.86139
,,,,,,,,6,11303.86524
,,,,,,,,7,11196.19278
,,,,,,,,8,11416.86358
,,,,,,,,9,12047.78544
,,,,,,,,10,12303.4254
,,,,,,,,11,11987.89379
,,,,,,,,12,12392.18748
,,,,,,,,13,11963.0967
,,,,,,,,14,11762.99447
,,,,,,,,15,12527.9754
,,,,,,,,16,12699.71686
,,,,,,,,17,13182.97249
,,,,,,,,18,13949.95413
,,,,,,,,19,14499.26492
,,,,,,,,20,14864.18271
,,,,,,,,21,14380.10574
,,,,,,,,22,13688.01035
,,,,,,,,23,13123.93245
,,,,,,,,24,12456.62342
,,,,,,,,25,11886.8292
,,,,,,,,26,11506.20509
,,,,,,,,27,11276.5996
,,,,,,,,28,11182.81718
,,,,,,,,29,11074.09956
,,,,,,,,30,10967.60973
,,,,,,,,31,10407.50727
,,,,,,,,32,10210.44735
,,,,,,,,33,10405.28086
,,,,,,,,34,10614.60931
,,,,,,,,35,10644.93295
,,,,,,,,36,11259.63486
,,,,,,,,37,11007.935
,,,,,,,,38,10272.75519
,,,,,,,,39,12065.67604
,,,,,,,,40,12705.47775
,,,,,,,,41,13449.99989
,,,,,,,,42,14645.84963
,,,,,,,,43,15244.42021
,,,,,,,,44,15589.9837
,,,,,,,,45,15095.31205
,,,,,,,,46,14201.8916
,,,,,,,,47,13609.4841
,,,,,,,,48,12674.63802
,,,,,,,,49,12005.61584
,,,,,,,,50,11705.15391
,,,,,,,,51,11442.52571
,,,,,,,,52,11292.41408
,,,,,,,,53,11340.40133
,,,,,,,,54,11302.77071
,,,,,,,,55,10932.32811
,,,,,,,,56,10783.19696
,,,,,,,,57,10708.27807
,,,,,,,,58,10507.15953
,,,,,,,,59,10560.91598
,,,,,,,,60,11267.44847
,,,,,,,,61,11885.16031
,,,,,,,,62,12417.63053
,,,,,,,,63,12549.74724
,,,,,,,,64,13282.9116
,,,,,,,,65,14293.42698
,,,,,,,,66,15588.72915
,,,,,,,,67,16385.34909
,,,,,,,,68,16396.91353
,,,,,,,,69,15684.60535
,,,,,,,,70,14768.36536
,,,,,,,,71,13974.57402
,,,,,,,,72,13034.59765
,,,,,,,,73,12369.15035
,,,,,,,,74,11969.36
,,,,,,,,75,11679.5276
,,,,,,,,76,11595.40357
,,,,,,,,77,11685.09119
,,,,,,,,78,11771.19797
,,,,,,,,79,12007.67014
,,,,,,,,80,12277.41773
,,,,,,,,81,12686.0954
,,,,,,,,82,13034.99588
,,,,,,,,83,13111.39409
,,,,,,,,84,13747.93488
,,,,,,,,85,14179.44574
,,,,,,,,86,14622.76651
,,,,,,,,87,15120.39194
,,,,,,,,88,16194.39339
,,,,,,,,89,16728.68552
,,,,,,,,90,17893.07874
,,,,,,,,91,18243.91144
,,,,,,,,92,18103.14797
,,,,,,,,93,17332.49337
,,,,,,,,94,16066.46186
,,,,,,,,95,14858.3612
,,,,,,,,96,13790.24674
,,,,,,,,97,13028.34104
,,,,,,,,98,12535.1832
,,,,,,,,99,12254.99229
,,,,,,,,100,12045.29926
,,,,,,,,101,12121.70135
,,,,,,,,102,12331.83776
,,,,,,,,103,12582.94002
,,,,,,,,104,13152.14264
,,,,,,,,105,13724.02295
,,,,,,,,106,14115.72657
,,,,,,,,107,13733.23987
,,,,,,,,108,13663.69576
,,,,,,,,109,14081.90717
,,,,,,,,110,14552.88266
,,,,,,,,111,15354.48556
,,,,,,,,112,16397.3274
,,,,,,,,113,17060.90041
,,,,,,,,114,17411.70339
,,,,,,,,115,17746.49187
,,,,,,,,116,17668.25633
,,,,,,,,117,16943.43491
,,,,,,,,118,15996.8911
,,,,,,,,119,14957.06169
,,,,,,,,120,13949.76533
,,,,,,,,121,13172.10242
,,,,,,,,122,12628.32631
,,,,,,,,123,12378.62186
,,,,,,,,124,12236.19663
,,,,,,,,125,12335.41268
,,,,,,,,126,12655.75919
,,,,,,,,127,12921.96987
,,,,,,,,128,13498.62755
,,,,,,,,129,13954.56123
,,,,,,,,130,14332.92192
,,,,,,,,131,14256.32428
,,,,,,,,132,14278.20127
,,,,,,,,133,14529.81647
,,,,,,,,134,15168.59184
,,,,,,,,135,15270.4482
,,,,,,,,136,15776.26782
,,,,,,,,137,16894.57206
,,,,,,,,138,17508.35313
,,,,,,,,139,17648.31494
,,,,,,,,140,17540.1252
,,,,,,,,141,16978.91344
,,,,,,,,142,15851.8043
,,,,,,,,143,14985.29041
,,,,,,,,144,13953.13629
,,,,,,,,145,13271.84481
,,,,,,,,146,12856.87298
,,,,,,,,147,12593.83081
,,,,,,,,148,12443.43217
,,,,,,,,149,12584.06681
,,,,,,,,150,12917.57361
,,,,,,,,151,13534.38463
,,,,,,,,152,14271.74544
,,,,,,,,153,15109.05117
,,,,,,,,154,15233.4056
,,,,,,,,155,15160.6903
,,,,,,,,156,15264.53128
,,,,,,,,157,15388.94592
,,,,,,,,158,15607.20231
,,,,,,,,159,16031.3642
,,,,,,,,160,16467.96094
,,,,,,,,161,16728.56203
,,,,,,,,162,16876.80671
,,,,,,,,163,16784.79872
,,,,,,,,164,16627.08653
,,,,,,,,165,16220.45522
,,,,,,,,166,15415.33329
,,,,,,,,167,14596.30848
,,,,,,,,168,13729.12076
,,,,,,,,169,13009.48639
,,,,,,,,170,12659.41831
,,,,,,,,171,12369.81396
,,,,,,,,172,12250.94419
,,,,,,,,173,12217.32689
,,,,,,,,174,12303.16421
,,,,,,,,175,12571.39338
,,,,,,,,176,13142.60713
,,,,,,,,177,14070.6306
,,,,,,,,178,14404.98013
,,,,,,,,179,14096.57832
,,,,,,,,180,14076.3559
,,,,,,,,181,14138.47329
,,,,,,,,182,14504.42908
,,,,,,,,183,14987.13677
,,,,,,,,184,15319.36393
,,,,,,,,185,15727.73841
,,,,,,,,186,15926.68433
,,,,,,,,187,16219.34323
,,,,,,,,188,16374.12764
,,,,,,,,189,15915.90685
,,,,,,,,190,15168.84817
,,,,,,,,191,14323.60851
,,,,,,,,192,13456.87557
,,,,,,,,193,12856.2192
,,,,,,,,194,12444.74857
,,,,,,,,195,12192.46826
,,,,,,,,196,12035.55434
,,,,,,,,197,11960.52889
,,,,,,,,198,11898.52247
,,,,,,,,199,11730.29976
,,,,,,,,200,11874.33611
,,,,,,,,201,12489.26071
,,,,,,,,202,12598.22232
,,,,,,,,203,12581.48998
,,,,,,,,204,12691.10156
,,,,,,,,205,13053.15928
,,,,,,,,206,13474.96197
,,,,,,,,207,14232.4113
,,,,,,,,208,15059.9464
,,,,,,,,209,15747.6354
,,,,,,,,210,16448.50072
,,,,,,,,211,16795.98376
,,,,,,,,212,16874.45375
,,,,,,,,213,16481.41522
,,,,,,,,214,15357.73305
,,,,,,,,215,14312.91468
,,,,,,,,216,13323.65148
,,,,,,,,217,12605.43735
,,,,,,,,218,12195.0297
,,,,,,,,219,11953.02383
