Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930134,-22.735268656261947
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672893014,-22.735268656262782
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672893014,-22.735268656263422
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672893014,-22.735268656263646
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930134,-22.735268656263163
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930106,-22.735268656257993
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930095,-22.735268656251048
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930084,-20.6865208190905
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672893007,-18.348130954540377
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672893006,-10.011140212807485
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672893002,4.819821933981255
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930013,4.81982193398222
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930006,4.819821933982501
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930006,4.819821933982408
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930003,4.819821933981856
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892999,4.8198219339802115
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929996,-18.37291824745189
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930003,-22.735268656244365
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672893001,-22.735268656246966
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728930006,-22.7352686562481
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892999,-22.73526865624841
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892999,-22.735268656248817
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892999,-22.735268656249055
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929978,-22.735268656249158
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929974,-22.735268656249133
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929935,-22.735268656248415
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929925,-22.735268656248074
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892991,-22.7352686562475
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892989,-22.7352686562465
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929868,-22.735268656244163
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929814,-19.32873353129372
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892979,-7.302923004412978
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892977,4.81982193398377
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892975,4.819821933984882
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929743,4.819821933985329
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892971,4.819821933985988
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929704,4.819821933985877
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929697,4.819821933985482
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.7998567289297,4.819821933984578
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929694,4.8198219339816895
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892968,-18.30869798476758
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929687,-22.73526865624436
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929687,-22.735268656246824
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892969,-22.735268656247925
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929687,-22.735268656248525
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892967,-22.735268656248504
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892966,-22.735268656248707
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929655,-22.735268656248774
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929644,-22.735268656248714
