Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,3.756879722530177e6,4.59031633601943e6,0.0,0.0,0.0,0.0,8.347196058549607e6
t1,0.0,0.0,0.0,0.0,0.0,1.8716482372838072e-6,0.0,0.0,0.0,0.0,0.0,1.8716482372838072e-6
t2,0.0,0.0,0.0,0.0,0.0,1.9735789464903064e-6,0.0,0.0,0.0,0.0,0.0,1.9735789464903064e-6
t3,0.0,0.0,0.0,0.0,0.0,2.0064780983375385e-6,0.0,0.0,0.0,0.0,0.0,2.0064780983375385e-6
t4,0.0,0.0,0.0,0.0,0.0,2.0133438738412224e-6,0.0,0.0,0.0,0.0,0.0,2.0133438738412224e-6
t5,0.0,0.0,0.0,0.0,0.0,2.012179720622953e-6,0.0,0.0,0.0,0.0,0.0,2.012179720622953e-6
t6,0.0,0.0,0.0,0.0,0.0,1.9870449250447564e-6,1.9875205339303648e-6,0.0,0.0,0.0,0.0,3.974565458975121e-6
t7,0.0,0.0,0.0,0.0,0.0,2.033054897765396e-6,2.059045527857961e-6,0.0,0.0,0.0,0.0,4.092100425623357e-6
t8,0.0,0.0,0.0,0.0,0.0,2.0630454855563585e-6,2.145909093087539e-6,0.0,0.0,0.0,0.0,4.2089545786438975e-6
t9,0.0,0.0,0.0,0.0,0.0,2.5836088752839714e-6,2.3751836124574766e-6,0.0,0.0,0.0,0.0,4.958792487741448e-6
t10,0.0,0.0,0.0,0.0,0.0,2.565755039540818e-6,2.2587373678106815e-6,0.0,0.0,0.0,0.0,4.824492407351499e-6
t11,0.0,0.0,0.0,0.0,0.0,1682.5711173214386,2631.1460143658805,0.0,0.0,0.0,0.0,4313.717131687319
t12,0.0,0.0,0.0,0.0,0.0,2028.7177342996583,3644.3619834865804,0.0,0.0,0.0,0.0,5673.079717786239
t13,0.0,0.0,0.0,0.0,0.0,2261.9576989800125,4045.178497722465,0.0,0.0,0.0,0.0,6307.136196702478
t14,0.0,0.0,0.0,0.0,0.0,2271.9987753051637,3539.8204997489647,0.0,0.0,0.0,0.0,5811.819275054128
t15,0.0,0.0,0.0,0.0,0.0,1481.1395368903486,1851.1682760031617,0.0,0.0,0.0,0.0,3332.3078128935103
t16,0.0,0.0,0.0,0.0,0.0,157.43607251305366,223.9635625427618,0.0,0.0,0.0,0.0,381.39963505581545
t17,0.0,0.0,0.0,0.0,0.0,2.261194822494872e-6,2.59443731920328e-6,0.0,0.0,0.0,0.0,4.855632141698152e-6
t18,0.0,0.0,0.0,0.0,0.0,1.8365681171417236e-6,2.0100237634324003e-6,0.0,0.0,0.0,0.0,3.846591880574124e-6
t19,0.0,0.0,0.0,0.0,0.0,1.8326863937545568e-6,2.223237856924243e-6,0.0,0.0,0.0,0.0,4.0559242506788e-6
