Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95693.80931813922,3888.1597587647016
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88961.21417185312,3633.3920604315654
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82005.8210443017,3242.4145568943936
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74984.87630072307,2374.8705235597095
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67947.44911981562,1288.366067259277
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60929.061583120456,243.76259374526103
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55419.01061137865,149.9538685624052
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54163.1660380574,3.975929011264399e-5
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55862.88825392798,5.261756764632297e-5
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59963.512465954795,1.1969200001343086e-5
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65382.2983353446,1189.0407894224254
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70801.08420470706,2068.4618891170976
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76219.87007404548,2910.18710415838
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81638.65594336085,3752.0535482096984
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87057.44181264787,4607.040305028467
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92476.22768201774,5236.481096263256
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95377.7251782081,5236.481083489745
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94879.56355064506,4761.719064871584
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91325.66133875435,4299.508338330558
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86468.10972225507,3886.032492189192
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81923.13756588177,3568.9293758510257
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77656.05686535059,3281.8604592138613
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73094.4866686386,2992.161195859699
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68924.85436096789,2720.291377362956
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64297.98941742862,2424.88283980766
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59372.13317195694,2112.546477361164
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54715.496894937816,1791.9083240782672
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50424.16856537036,1455.5420093208695
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46274.82053448622,1068.2596992945205
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42581.717027309904,580.702869749312
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42228.59057607296,2.821209497561441e-5
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45788.0768625267,9.262960020350874e-6
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51206.8627318955,1189.0408059533393
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56625.648601283305,1866.1564448439717
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62044.43447067563,2454.366120736053
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67463.22034016596,3018.929488301401
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72882.00620963608,3568.0994437519294
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78300.79207907338,4162.065712763427
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83719.57794845341,4827.160181042111
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89138.3638177462,5236.481096274086
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91898.54047392649,5236.481083593985
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91291.19358744308,4739.006445598109
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87446.22088211142,4298.514865917065
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81861.95401667684,3826.8705921948244
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76703.65999365109,3457.7966023757276
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72377.56125198853,3187.327775421759
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67951.19875153854,2910.764546066223
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63255.3016791617,2620.142871682458
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58876.72461299583,2338.1219488211314
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54531.489047888506,2043.2238190397472
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49875.28299527686,1718.4445474065315
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45438.596976909575,1362.1107540551534
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41208.14372859749,950.3536817094054
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36522.93677382508,355.2341732649113
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36296.202910743195,3.4268851404710634e-5
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40957.336260496486,1.1289885769574055e-5
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46376.12212987166,1189.040800414205
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51794.90799923946,2012.0373131376566
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57213.69386861462,2796.139311210498
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62632.479737967406,3562.6502472441725
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68051.26560737546,4369.191294495722
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73470.05147676141,5236.481094380459
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78466.86532673343,5236.4810314854185
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81242.0374170303,5236.481029171587
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81758.26509094071,5236.481078898072
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80183.70063711783,4627.708337238166
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76050.02174126456,4146.729711168045
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71447.76665085425,3735.163470291576
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67513.73441490754,3398.3137013051437
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64102.49745595479,3089.029607907653
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60142.65657425649,2793.153973303089
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56219.316528553354,2490.149099136498
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52583.25470233639,2184.952114270137
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49064.35322835814,1864.0740033500872
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46208.65071289168,1525.616357970559
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43872.28170898281,1131.3008391762976
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41984.021673156116,648.3405133665208
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40874.86919054104,2.7382835532108158e-5
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42727.63725087633,9.357529506814899e-6
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48146.42312009313,693.0727148320391
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53565.208989508974,1484.6851293405934
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58983.99485894861,2118.9720997654895
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64402.78072840661,2668.389450001404
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69821.56659785988,3176.1434967418045
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75240.35246727991,3693.776660636091
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80659.13833673704,4308.392368058262
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86077.92420612444,5028.828781170406
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91496.7100754654,5236.481096287612
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93853.20173619191,5236.48108365009
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91837.1797548701,4706.504162407874
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86549.47523906965,4317.861426987458
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80110.84614967152,3673.5366246313574
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73800.39693802885,3165.0003957716385
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68037.3394030223,2821.81498869559
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61910.53384860781,2407.0558099953364
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56397.58654554851,2086.8114950681093
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52215.19899647971,1855.7192809610144
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49462.02786618727,1620.6775265990957
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47136.42973055183,1358.177648350075
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45276.80848113096,1057.4966369294407
