Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
QLD_coal,1,8126.0,921.6404347786912,8.786193552820495e-7,7204.359566099928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_coal_ccs,1,0.0,0.0,0.00022107667289407567,0.00022107667289407567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT,1,1597.9,835.9315504317036,7.004832876835778e-7,761.9684502687797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT_CCS,1,0.0,0.0,0.0004009581232300441,0.0004009581232300441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_OCGT,1,1988.5,1988.4914320651487,4.5046242056433275e-7,0.008568385313765248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_wind,1,826.408,2.8632338437079215e-8,17321.692551333428,18148.100551304797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_solar,1,1798.627,6.4806759926573e-8,20164.322083311803,21962.949083246996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_biomass,1,0.0,0.0,0.0004214095065032954,0.0004214095065032954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_hydro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_PHES,1,740.0,4.243302476948408e-8,6454.530865427086,7194.530865384652,6770.0,1.9529855958684753e-6,155208.91730334723,161978.91730139425,0.0,0.0,0.0,0.0
QLD_battery,1,100.0,1.1584921051069733e-7,1209.9547198883702,1309.954719772521,150.0,3.142589837257562e-7,5149.546493203049,5299.54649288879,0.0,0.0,0.0,0.0
Total,n/a,15177.435,3746.063417527265,45150.50126543456,56581.87284790729,6920.0,2.2672445795942314e-6,160358.4637965503,167278.46379428304,0.0,0.0,0.0,0.0
