Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0803203913883504e7,2.8953175638496056e6,2.369852147773311e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340495728749568,0.0005121050436372222,0.0008526007723867902
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034047939274798667,0.0005120525353916438,0.0008525319281396305
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003404231483096576,0.0005119572735201115,0.000852380421829769
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003403451134154723,0.0005117974065801847,0.000852142519995657
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034023754993943824,0.0005116106652703323,0.0008518482152097706
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003403724949152673,0.0005118162948903411,0.0008521887898056084
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034062961884194563,0.0005122740267474188,0.0008529036455893644
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003404167631893371,0.000358096100963309,0.0006985128641526461
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2475.757995317215,0.0010837509588733196,2475.759079068174
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5687.874075015466,0.00019957462075815462,5687.874274590086
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673136263,1309.9462109310293,8504.476884067293
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673151224,1162.2848152636298,8356.815488414853
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673150004,1143.6993671201985,8338.230040270202
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673129171,1139.3066294939217,8333.837302623093
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673097807,1125.8644072503876,8320.395080348195
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673074668,1029.2694217025685,8223.800094777236
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3845.549349709601,0.001156700169470041,3845.55050640977
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003403970336409531,0.0005119142638879951,0.0008523112975289482
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034052646301871014,0.0005119655998903862,0.0008524920629090964
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034054855700071344,0.0005119538824159345,0.0008525024394166479
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034067607298675026,0.0005121601133857034,0.0008528361863724536
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003406396138567333,0.0005120752319218811,0.0008527148457786143
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003406314067601878,0.0005120374681255061,0.000852668874885694
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340597889281283,0.0005119557993316165,0.0008525536886128996
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034055378812708264,0.0005119024525745356,0.0008524562407016183
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034069735291002807,0.0005121852722757875,0.0008528826251858156
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034063308207563445,0.0005121111266778913,0.0008527442087535256
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034058992503348804,0.00051206082352377,0.000852650748557258
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003405462667163539,0.0005120369912768638,0.0008525832579932177
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034044960563646605,0.0005119929354164652,0.0008524425410529312
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034035750263289603,0.0003043803813617949,0.0006447378839946909
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4764.265387210867,0.00016728618648417107,4764.265554497053
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.5306731082555,1309.946230988646,8504.476904096902
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673153893,1053.20323216975,8247.733905323643
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673181308,1002.0972512102348,8196.627924391543
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673213131,1002.1549764758012,8196.685649688932
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673212947,989.7579120651133,8184.28858527806
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673194232,1015.1186365629341,8209.649309757166
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673131681,1044.3278556191694,8238.85852875085
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673055348,917.2909209224092,8111.821593977757
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3660.7066138701584,0.0011558974727928083,3660.7077697676314
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003404424166703283,0.0005119794221618272,0.0008524218388321554
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003405957363767937,0.0005120533249895297,0.0008526490613663234
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003406391588945787,0.0005120586510164963,0.000852697809911075
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034060130683700107,0.0005119681166638934,0.0008525694235008945
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034071129552619504,0.0005121609403165704,0.0008528722358427654
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003406760131006741,0.0005120962133391635,0.0008527722264398376
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034066204927432636,0.0005120513560348825,0.0008527134053092089
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003406266129379569,0.0005119680769553063,0.0008525946898932632
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003405627876491336,0.0005118867245546865,0.0008524495122038201
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003407055710651136,0.0005121893131340732,0.0008528948841991868
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003406382547638756,0.0005121211384541434,0.0008527593932180189
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034059933566345853,0.0005121026968949872,0.0008527020325584457
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003405561971258545,0.0005121452759384894,0.0008527014730643439
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340279221929448,0.00034546778047052774,0.0006857470023999757
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6222.707303098128,0.00016554904841701993,6222.707468647177
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673123691,1309.946236053957,8504.476909177647
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673162961,1131.2556061623038,8325.786279325264
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673187176,1107.906349472671,8302.437022659848
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673179389,1094.4597536441179,8288.990426823508
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673151851,1124.6087172779971,8319.13939042985
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.530673135385,1142.1942153942516,8336.724888529636
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6652.501338046137,0.0008477004801901702,6652.502185746617
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738.106979203251,0.0013160924903753333,3738.1082952957413
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.8362288140228,0.0027031592353546612,707.8389319732581
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340522116491868,0.0005120902854326471,0.0008526124019245151
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034060779118334766,0.000512134783768914,0.0008527425749522617
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034061949231203306,0.0005121142544483158,0.0008527337467603488
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034058231887256136,0.0005120198506081018,0.0008526021694806632
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340511200302237,0.0005119033592523167,0.0008524145595545536
