BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.154097991344296e8,1.8243748343354512e7,-2.3698521477733135e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0995502600005096e8
t1,5952.5773753648045,6544.049347235967,-0.0008526007723867902,0.0,0.0,0.0,0.0,0.0,0.0,-12496.62587
t2,5117.764750039927,7027.246052492001,-0.0008525319281396305,0.0,0.0,0.0,0.0,0.0,0.0,-12145.00995
t3,4428.136929091051,7370.538353289369,-0.000852380421829769,0.0,0.0,0.0,0.0,0.0,0.0,-11798.67443
t4,3829.2496109106173,7891.315001231901,-0.000852142519995657,0.0,0.0,0.0,0.0,0.0,0.0,-11720.56376
t5,3538.88000217105,8116.325449677164,-0.0008518482152097706,0.0,0.0,0.0,0.0,0.0,0.0,-11655.2046
t6,3546.3993516492146,8068.951540539574,-0.0008521887898056084,0.0,0.0,0.0,0.0,0.0,0.0,-11615.35004
t7,5803.731835130258,5688.616637773389,-0.0008529036455893644,0.0,0.0,0.0,0.0,0.0,0.0,-11492.34762
t8,9896.47005411348,1329.6585143993843,-0.0006985128641526461,0.0,0.0,0.0,0.0,0.0,0.0,-11226.12787
t9,13785.764242537898,0.0008565302773165713,-2475.759079068174,0.0,0.0,0.0,0.0,0.0,0.0,-11310.00602
t10,17080.206559758335,0.0018348317566827055,-5687.874274590086,0.0,0.0,0.0,0.0,0.0,0.0,-11392.33412
t11,19991.992059458953,0.00023460833560167983,-8504.476884067293,0.0,0.0,0.0,0.0,0.0,0.0,-11487.51541
t12,20078.549526529085,147.66573188576797,-8356.815488414853,0.0,0.0,0.0,0.0,0.0,0.0,-11869.39977
t13,19980.454870520738,166.25117974946164,-8338.230040270202,0.0,0.0,0.0,0.0,0.0,0.0,-11808.47601
t14,19886.787994764014,170.64391785907821,-8333.837302623093,0.0,0.0,0.0,0.0,0.0,0.0,-11723.59461
t15,20481.801747370155,184.08614297804544,-8320.395080348195,0.0,0.0,0.0,0.0,0.0,0.0,-12345.49281
t16,20454.93228184411,280.68113293312064,-8223.800094777236,0.0,0.0,0.0,0.0,0.0,0.0,-12511.81332
t17,17039.412413949933,0.001692459841440544,-3845.55050640977,0.0,0.0,0.0,0.0,0.0,0.0,-13193.8636
t18,13134.858860281829,934.7411120294677,-0.0008523112975289482,0.0,0.0,0.0,0.0,0.0,0.0,-14069.59912
t19,10734.083589220436,4024.6833632716275,-0.0008524920629090964,0.0,0.0,0.0,0.0,0.0,0.0,-14758.7661
t20,9763.678490606808,5249.741011895632,-0.0008525024394166479,0.0,0.0,0.0,0.0,0.0,0.0,-15013.41865
t21,9654.789887682247,4836.553895153941,-0.0008528361863724536,0.0,0.0,0.0,0.0,0.0,0.0,-14491.34293
t22,9291.827876809726,4545.02409590512,-0.0008527148457786143,0.0,0.0,0.0,0.0,0.0,0.0,-13836.85112
t23,8529.607653667374,4895.591339001503,-0.000852668874885694,0.0,0.0,0.0,0.0,0.0,0.0,-13425.19814
t24,8329.978547607536,4518.129554946153,-0.0008525536886128996,0.0,0.0,0.0,0.0,0.0,0.0,-12848.10725
t25,7222.944414019821,4973.953718436419,-0.0008524562407016183,0.0,0.0,0.0,0.0,0.0,0.0,-12196.89728
t26,6478.872291242392,5268.179541640235,-0.0008528826251858156,0.0,0.0,0.0,0.0,0.0,0.0,-11747.05098
