Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,2.2877634462472327e7,2.37105082225635e-6,218881.622092011,1.5509988442914847e-6,4.547418652998166e-6,5.21877948769284e7,4.0198269461354114e7,1.3229660034729283e-5,0.0,1.603147274035119e7,2.449008036797987e6,1.3396306120001772e8
t1,2.860207429978988e-10,1.283875835111114e-10,9.605580203931545e-11,1.032460225469351e-10,6.661097631386343e-11,5969.483612114384,0.0,1.3894075737073869e-9,0.0,6510.908363786716,119.58995410170601,12599.981930004877
t2,3.151269437517686e-10,1.2607801956116943e-10,9.970608670059824e-11,1.0333946366749948e-10,6.970632756086787e-11,5132.299934805529,0.0,1.3927417967561732e-9,0.0,6886.950788419676,206.04121677753474,12225.291940004847
t3,3.225292555851056e-10,1.2644467287654762e-10,1.0100775712403383e-10,1.0361169966814418e-10,7.059110660564744e-11,4440.713418767822,0.0,1.3954493633638013e-9,0.0,7045.5682714346085,385.71284980025376,11871.994540004802
t4,3.3025833517695894e-10,1.2746755071912872e-10,1.0210476894568452e-10,1.0389808106538025e-10,7.13041550230754e-11,3840.125128524562,0.0,1.4007715929195064e-9,0.0,7112.2303058770185,857.6154756009222,11809.970910004638
t5,3.6526096889463153e-10,1.2609060122993455e-10,1.0611545178223574e-10,1.0431830240460679e-10,7.439034501706306e-11,3548.9308059823816,0.0,1.4095120324370083e-9,0.0,7143.987752897639,1058.4004811220696,11751.319040004277
t6,2.757217962236121e-10,1.2377493811716194e-10,9.227544184453622e-11,1.0186680470504344e-10,6.348133554624208e-11,3093.939677010225,460.61020627855885,1.399759869632182e-9,0.0,7119.008308892142,1045.6201578214864,11719.17835000447
t7,2.7355423332609425e-10,1.220771214525015e-10,9.543325409808949e-11,1.0088607080170274e-10,6.648986416251681e-11,2802.745354468024,3004.933250486625,1.378389938800241e-9,0.0,5703.398375660024,79.98895938891425,11591.065940005625
t8,2.666510077609026e-10,1.2471666265228264e-10,9.768572601068048e-11,1.0284917147411002e-10,6.788897093490354e-11,2766.3460641502656,7128.49128765145,1.3642381022527334e-9,0.0,1058.2268518196393,209.4850763806749,11162.549280004056
t9,2.3954614473474485e-10,1.205463536804591e-10,9.480294508947645e-11,9.948041357693961e-11,6.728531300507569e-11,2547.9503222435014,11230.115505469686,1.2012317724667339e-9,0.0,2.0999586156561622e-9,2.9636072743806827e-9,13778.065827720073
t10,2.658958057603406e-10,1.2176342931543978e-10,1.006536734508764e-10,1.0130109958271425e-10,7.073881515894224e-11,2547.95032224358,14520.188407462962,1.0184611437205479e-9,0.0,2.444305300395007e-9,9.6346138237844e-9,17068.1387297203
t11,1.5422636742938152e-10,9.633169038684228e-11,7.773407466625574e-11,8.659822421097469e-11,5.738103600842025e-11,5815.342565790292,14098.606557340783,4.91159230407833e-10,0.0,2.784451686815529e-10,1.0566747585114822e-9,19913.949123133374
t12,1.6482966402374014e-10,9.613594300875796e-11,8.073026075631265e-11,8.656579619830763e-11,5.990719403709856e-11,5978.7455594385765,14040.516786217198,3.986243554525208e-10,0.0,2.8153532701973683e-10,134.55066874905427,20153.813014406
t13,1.668744942610065e-10,9.808546257585869e-11,8.154565516924216e-11,8.660948421528193e-11,6.047106878519295e-11,6419.78010071331,13634.390891247085,3.8706130582039693e-10,0.0,2.826056993645317e-10,147.99565559664643,20202.166647558206
t14,1.6874134757016935e-10,9.954455664638345e-11,8.220749400612882e-11,8.666770239073164e-11,6.091756446935334e-11,7171.612524042354,12824.388315308888,3.883832623266625e-10,0.0,2.8770639039404556e-10,153.84351690121494,20149.844356253634
t15,1.8276585183294094e-10,9.882547965996827e-11,8.499644435626592e-11,8.662978113059128e-11,6.315786835482362e-11,8601.859017869294,11908.048395093878,4.035042726681996e-10,0.0,2.967973635211274e-10,183.99221009490853,20693.899623059297
t16,1.4690763497042847e-10,9.659967124574335e-11,7.631529784742102e-11,8.546547587395883e-11,5.6240680978921864e-11,10302.598674101453,10166.353607171239,4.939154649436775e-10,0.0,2.7355856021528723e-10,286.72655594382877,20755.678837217747
t17,2.446005242878425e-10,1.219300138624521e-10,9.655699721824971e-11,1.0067874304525868e-10,6.793205687815902e-11,10810.589224378222,6251.138513786498,1.0300762157428e-9,0.0,2.034012921821583e-9,1.0107409340424448e-8,17061.72773817852
t18,2.8359001778758544e-10,1.3309604216939906e-10,1.0312170943519769e-10,1.0496744814623232e-10,7.140481429664339e-11,11101.783546920473,2061.779018581966,1.3360759263590521e-9,0.0,462.84504366158484,483.0732108416663,14109.480820007724
t19,2.8239520071552684e-10,1.3564347569250944e-10,1.0477599826807704e-10,1.0503470142189974e-10,7.241514102142899e-11,10610.393127630537,153.5367354258942,1.4188909466412879e-9,0.0,3615.3499472552894,465.9867396938695,14845.266550007711
t20,3.299823025648187e-10,1.3537322647744333e-10,1.1014229219921337e-10,1.0704872398921338e-10,7.664948533254627e-11,9791.409095480649,0.0,1.434857160636857e-9,0.0,4890.788582047694,380.9663524758918,15063.16403000643
t21,2.662077229506081e-10,1.3523775241093013e-10,1.0035661489454375e-10,1.0674782222297932e-10,6.929072316674535e-11,9682.21122452734,0.0,1.4317553460809272e-9,0.0,4564.133511282886,282.07732419133026,14528.422060003666
t22,2.876902172164074e-10,1.331631879727585e-10,1.0391891990904729e-10,1.0670328218100291e-10,7.21022975320505e-11,9318.218321349606,0.0,1.4339873007026691e-9,0.0,4303.371331742235,264.8751169098716,13886.464770003851
t23,2.883483542796307e-10,1.3349589915449852e-10,1.0444541601643202e-10,1.0649618327433235e-10,7.240278636655963e-11,8553.833224676368,0.0,1.4358951460970666e-9,0.0,4711.091583096351,260.6952722300927,13525.620080004952
t24,2.928693239018944e-10,1.3433831485162429e-10,1.0537502762761777e-10,1.0662344190918312e-10,7.301294271251238e-11,8353.637127928614,0.0,1.4381793246999194e-9,0.0,4368.087656676181,256.8771153979303,12978.601900004878
t25,3.1941716113461954e-10,1.325966793697457e-10,1.0909823458683617e-10,1.063434611039457e-10,7.581052816116639e-11,7243.4587732365135,0.0,1.4403228890500646e-9,0.0,4790.95012671455,265.84444005155063,12300.253340004798
t26,2.491723335541429e-10,1.295599654478127e-10,9.530168415042578e-11,1.050362216082885e-10,6.530038311520955e-11,6497.273321722149,0.0,1.4345565684049434e-9,0.0,5072.7834742610985,257.2761740197835,11827.332970005109
t27,2.735653084501215e-10,1.2665284326962618e-10,9.950708028839282e-11,1.0515044243215015e-10,6.900432051677766e-11,6515.472966881031,0.0,1.4369638374737963e-9,0.0,4778.048921684798,276.35808143708107,11569.879970005022
t28,2.776187372199844e-10,1.2701887534870036e-10,1.0038409355581892e-10,1.0537417589334649e-10,6.953808419480192e-11,6806.667289423233,0.0,1.4393627968519164e-9,0.0,4427.008103535248,306.7703370443558,11540.445730004958
t29,2.812776147405936e-10,1.2746583570939168e-10,1.000288640260725e-10,1.0498375115988645e-10,6.934193481522494e-11,6806.667289423232,0.0,1.4389871071803427e-9,0.0,4290.665112141329,361.22481843823135,11458.557220004916
t30,2.8738507740076047e-10,1.2614144084292222e-10,1.0239178203547576e-10,1.0207300248636923e-10,7.128554824708051e-11,6661.07012815214,416.7425675853211,1.4276437604201292e-9,0.0,3843.1826082673415,461.92753599790046,11382.92284000482
t31,2.3428222973732295e-10,1.2356309401045104e-10,8.75717018969746e-11,1.0117752223709381e-10,6.113114425823593e-11,6861.26622489991,2895.2641537535546,1.3453985520846708e-9,0.0,430.6675678560697,615.1824834922808,10802.380430003768
t32,2.3073900690678944e-10,1.1509583012066247e-10,8.9997927568534e-11,9.877875448871664e-11,6.38067105850624e-11,7425.45522482534,7369.763300464258,1.0531529241215995e-9,0.0,2.294158807567298e-9,4.8718901342056375e-9,14795.218525298415
t33,1.5446335131231598e-10,9.189306253625132e-11,7.608258753283639e-11,8.361232346497964e-11,5.698103732890975e-11,6877.108577157145,11137.692911976836,5.041207693429275e-10,0.0,2.873229333486598e-10,7.873926952489427e-10,18014.80148913602
t34,1.6158564272047593e-10,9.489583882058379e-11,7.881588357621259e-11,8.478322623057301e-11,5.896189780224083e-11,5454.302530440203,12014.772693731524,4.04562462358078e-10,0.0,2.8544852723720926e-10,261.9861019912419,17731.061326164137
t35,1.7697240345949431e-10,9.634420526840948e-11,8.26944325293706e-11,8.559397687421501e-11,6.142977267426486e-11,5317.633178968266,12659.0085056659,3.9255272318149543e-10,0.0,2.8803260674173653e-10,297.17329876022444,18273.814983395572
t36,1.5037671725013434e-10,9.637467914456818e-11,7.669797510935217e-11,8.618035509793926e-11,5.6329401945614585e-11,5623.749641301986,12945.309362163887,3.9276237838659047e-10,0.0,2.708847209606352e-10,293.3760248438339,18862.435028310836
t37,1.6402362380649784e-10,9.636945262634061e-11,8.006956279706266e-11,8.637914872485394e-11,5.929376547925669e-11,6100.9672026665785,12688.357042876547,3.9362269323672705e-10,0.0,2.7577176329782285e-10,302.83817880525487,19092.162424349535
t38,1.6667796598612215e-10,9.807122025349892e-11,8.095840325682762e-11,8.653194258754014e-11,5.993638259683604e-11,6619.548254149765,11631.028558041586,3.9416584780442196e-10,0.0,2.7804400142825475e-10,281.43589048114416,18532.01270267366
t39,1.6841285435008527e-10,9.922363177947667e-11,8.150295431428279e-11,8.647985277219971e-11,6.064745060877578e-11,8325.042586495556,11542.367726760234,4.0689650036603076e-10,0.0,2.8457179628229106e-10,274.091079948724,20141.501393205705
t40,1.7884507392743227e-10,9.899202578000744e-11,8.409221140841767e-11,8.600512404161892e-11,6.256292588942961e-11,10265.786557489599,9996.10157897557,5.028022908697751e-10,0.0,2.9237966330346604e-10,393.13907334492023,20655.02720981139
t41,2.275358272165067e-10,1.2350130408043216e-10,9.363626903881719e-11,1.0122529362924292e-10,6.537078319157084e-11,11047.184611443747,6097.601778360154,1.0336680799288028e-9,0.0,1.9992103876010435e-9,7.754922950458119e-9,17144.7863898153
t42,2.8373638133359723e-10,1.3186359276305008e-10,1.0297550630857049e-10,1.0545596392605764e-10,7.137412902014576e-11,11538.575030733746,2193.381934661688,1.338670437692606e-9,0.0,562.3136503033153,511.1057043041097,14805.37632000489
t43,2.822118942434667e-10,1.34339488816684e-10,1.0458281177428005e-10,1.0539527895176254e-10,7.237458080113059e-11,11065.384256602696,175.47055477250981,1.420335364942312e-9,0.0,3901.4622596468403,448.1047689807936,15590.421840004958
t44,2.969252005351944e-10,1.3584712964204166e-10,1.056163180057594e-10,1.0689877285444997e-10,7.326974471331254e-11,9736.81016000399,0.0,1.4356389677863853e-9,0.0,5636.097794170975,416.0570758278504,15788.965030004969
t45,3.3129623923153193e-10,1.3640165839902172e-10,1.1202149967798836e-10,1.0746993285175411e-10,7.784955108008939e-11,9736.810160003988,0.0,1.440298089555484e-9,0.0,5179.636421831348,327.18179816733004,15243.628380004873
t46,2.672174442113461e-10,1.360992325508679e-10,1.0103818485563752e-10,1.0696082801060166e-10,6.978777904025755e-11,9791.409095480656,0.0,1.4349918058111158e-9,0.0,4358.962040103887,249.97488441843203,14400.34602000509
