Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104921.25095688565,4505.219319233694
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98059.60553797054,4172.840628613211
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91161.46479004888,3553.8450159971135
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84232.58482943347,2538.620013275141
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77289.95717035624,1397.6818725554795
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70372.52162729617,373.9300723644503
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65009.58010821441,267.99740565155645
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63496.67067550846,190.2997693085646
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64713.04155057661,230.63062013984845
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68581.94353688204,0.000653191730977253
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73933.56397314201,1175.110305692971
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79285.18440885343,2032.092351867636
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84636.80484389667,2841.503173465908
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89988.42527865367,3658.905957852141
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95340.04571325154,4510.4570498718385
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100691.66615171579,5239.912420816593
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103779.75483106976,5110.545035741471
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103464.41562544802,4720.447837032645
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100285.75560751578,4249.5773706818945
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95722.1371539815,3842.949455423576
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91417.4210659474,3581.1127583524126
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86753.36554606729,3311.1430025934696
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81856.91749388193,3029.971173218274
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77429.5152237278,2781.9973632304736
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72541.78288775834,2485.2667328083794
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67414.4278155316,2191.037739206479
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62617.5388629763,1888.1070533858938
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58308.58560013566,1570.7379974128462
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54248.35428623362,1187.7785836458108
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50758.76729571049,671.2625761067009
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50534.13468476073,187.73205536710088
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54147.79733853582,0.0005120949338106584
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59499.41779070377,1175.111664534401
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64851.03822446482,1887.6395827658712
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70202.65865738454,2460.777807476042
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75554.27909256546,2986.16787828825
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80905.89952696167,3485.7933814357793
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86257.51996073719,4036.7894321798635
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91609.14039430839,4724.167402423837
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96960.76083039002,5239.912417410738
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99916.7426921332,5104.034911206394
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99513.76452915138,4675.266711709757
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96036.42387652,4242.606464854331
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90738.89263836783,3784.182826408507
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85854.91271032541,3436.329283706998
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81135.44941272166,3188.029928168131
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76375.03257676025,2931.644793802785
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71429.63831867104,2648.711580177476
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66789.6044993962,2378.3091581759913
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62271.81348083356,2088.67320355543
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57478.26408635706,1783.58441131044
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53025.81463466001,1440.594352770639
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48889.89752037324,1029.3352507494324
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44403.59759166757,396.794483382392
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44302.18977920932,152.21569473848936
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49031.87174552557,0.0005403957910677039
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54383.49218287849,1175.1104750674015
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59735.11261873659,2008.9862861542654
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65086.73305417335,2784.1233529517117
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70438.35348909246,3538.5756655284754
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75789.97392591205,4355.128500477591
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81141.59436253768,5239.912397495147
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86383.5949593991,5161.357787610541
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89341.1946264333,4987.176032201497
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89913.19856057117,5054.2433532683945
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88567.53028972023,4505.813548831052
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84803.16865945987,4057.1025794875386
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80505.9382915687,3682.1400921195323
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76869.569221995,3385.611685962883
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73103.2601560903,3095.4190126348994
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68807.61776353678,2838.4025227461516
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64632.54402283374,2566.8485804288002
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60742.421120818275,2288.2493912921527
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57059.2623707364,1986.0192000627746
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54122.87637932554,1651.121621581826
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51816.50846820562,1271.319211116744
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50077.65790577001,786.1725235249846
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49207.01945281713,145.3811762114417
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51396.113293000875,0.0005725168788330848
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56747.73370017016,788.9011118141233
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62099.35413627267,1624.6895049505283
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67450.97457082938,2232.2261779498235
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72802.59500474266,2714.3479986109282
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78154.2154382142,3138.9043044265286
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83505.835870996,3572.650181353379
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88857.45630559318,4159.8173410688505
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94209.07674037744,4913.055536680648
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99560.69717935851,5239.912417640262
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102145.29453188609,5112.664945760501
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100413.90031452615,4613.919580990314
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95446.34347168067,4323.590068699118
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89273.33831443258,3753.842548487909
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83219.16610133483,3313.5681829547084
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77165.01731926741,2897.8013691721394
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70865.74069617619,2319.378675962559
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65106.932083427106,2006.5848838204995
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60647.493055016734,1829.1393867704849
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57724.41543055888,1646.9342577943921
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55304.667745971696,1425.8553292234574
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53484.84607281638,1151.6429194515142
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52135.342421019224,769.3129568822803
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51286.36141492186,200.6448972690039
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52299.8278687044,173.78294561733327
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56915.80357755562,0.000523427235748386
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62267.42401655934,1175.110583695911
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67619.04445349977,1935.534383554733
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72970.66488938323,2572.491450340114
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78322.28532476517,3149.176352255392
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83673.90575988857,3734.848627982414
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89025.52619430711,4384.426871590327
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94377.14663150614,5239.912422189124
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98575.84685476903,5036.177886911719
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98962.36141617782,5102.695035679852
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94933.66356544313,5006.012086804845
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88191.68882786074,4268.697220539767
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81150.08261005432,2870.469876753817
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74334.3437117626,1885.3518409747628
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67611.72681042032,1315.059835154743
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61540.84806250786,1238.4230656890575
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56394.63542247154,1223.512435920819
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52606.04074923041,1233.3845741398295
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48583.06705164493,1217.4196774198783
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43828.22735188253,1171.8298730997215
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38572.73145789119,1075.1992583534602
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33054.69383646043,904.5900023483447
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27332.60675037268,580.3129942026214
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24375.042495901824,209.44661675830284
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25635.751394877665,174.07225459709892
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30307.637286402845,0.0005180207958801475
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35659.25772258771,1175.11042526905
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41010.878157874686,2012.2331263706137
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46362.49859307529,2769.399885116718
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51714.11902790633,3563.337677978686
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57065.73946275514,4403.712043700547
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62417.35990014013,5239.9124226492695
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66888.16707348877,5061.777235312953
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68446.45103611385,5095.94774855165
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67451.40766846063,4514.112132234624
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63948.82189309671,4001.948655799953
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59852.50846025374,3569.0075924352436
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55754.477588312424,3247.597545272516
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51470.500485980025,2921.9641337522344
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48520.48480938905,2648.250082543796
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47238.516490162525,2421.23141167169
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46691.686006145785,2255.83123458239
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46120.62260213607,2110.9937031877644
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45385.65441958995,1913.18726389928
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44510.37319923168,1660.4951233558572
t149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43589.79980704787,1351.8432094799266
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42688.59507487621,956.2679806656964
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41635.123836476465,219.01437637407636
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43289.85594663404,210.07219923212958
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47348.5670229693,0.0005529856305201974
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52700.187441046604,490.2492350468078
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58051.80788653362,1502.7018246316725
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63403.42833103781,2502.330607114405
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68755.04876965207,3357.1377006657417
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74106.66920876043,4248.53933646866
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79458.2896554376,5239.91242321966
