Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.569935936599608e-6,-7.259508735164036e-6
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.570590817120076e-6,-7.4068296274812765e-6
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.570974465071753e-6,-7.498131825301928e-6
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.57110092853993e-6,-7.5273300541492725e-6
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.570973764541361e-6,-7.479224481943076e-6
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.568983190196459e-6,-6.984036708470329e-6
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5683632088204116e-6,-6.43119079871108e-6
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.567638678916844e-6,-5.643442750679355e-6
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.566898348248147e-6,-4.688752350002754e-6
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.566212090766235e-6,1.997592177828359
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.563888727680982e-6,5.3098816292346624
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5635484185269045e-6,5.309881734027469
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.563392938442218e-6,5.309881765320498
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5634180271118795e-6,5.309881756730165
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.563623642795277e-6,5.309881701601977
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5627128090593305e-6,5.309881543470344
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.563298258839673e-6,-4.717616640469636e-6
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.563997325405116e-6,-5.682283286225694e-6
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5646512492925284e-6,-5.924170504840584e-6
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.565164091329276e-6,-6.036798766363077e-6
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.564216209333225e-6,-6.069509031919988e-6
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.564406033724083e-6,-6.113233126820484e-6
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.564424778022589e-6,-6.139684892064206e-6
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.564275102847341e-6,-6.1527252346937575e-6
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.563952838801809e-6,-6.154383468704011e-6
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.561742174191706e-6,-6.086972728373552e-6
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.561031087230408e-6,-6.05749807400378e-6
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.560129595916273e-6,-6.006494882477687e-6
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.559035685814224e-6,-5.920819740190782e-6
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.557755678383369e-6,-5.749405457529249e-6
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.554040245143308e-6,-4.778711660602397e-6
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.552710777720878e-6,2.697302456266905
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5515692008238574e-6,5.309881941686989
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.550672736807493e-6,5.309882065094907
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.549995066933151e-6,5.309882113592296
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5477648973717215e-6,5.309882185306153
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.547477940151901e-6,5.309882174566921
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5473743992518095e-6,5.30988213424766
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.547452018675227e-6,5.30988204093211
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.547712149040065e-6,5.309881758215182
