Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,0,1,0,2000,1,8760,1,1,13375.68662
,,,,,,,,2,12815.36336
,,,,,,,,3,12358.02259
,,,,,,,,4,12151.47564
,,,,,,,,5,11967.51517
,,,,,,,,6,11815.99533
,,,,,,,,7,11579.90457
,,,,,,,,8,11245.17769
,,,,,,,,9,11295.73435
,,,,,,,,10,11042.16426
,,,,,,,,11,10555.09795
,,,,,,,,12,10556.93066
,,,,,,,,13,10388.31543
,,,,,,,,14,10634.97201
,,,,,,,,15,11808.16472
,,,,,,,,16,12289.2754
,,,,,,,,17,13174.11717
,,,,,,,,18,14049.8527
,,,,,,,,19,14739.01967
,,,,,,,,20,14962.74402
,,,,,,,,21,14409.74009
,,,,,,,,22,14791.34338
,,,,,,,,23,14429.22732
,,,,,,,,24,13799.84301
,,,,,,,,25,13075.95803
,,,,,,,,26,12417.40439
,,,,,,,,27,12055.90801
,,,,,,,,28,11881.95046
,,,,,,,,29,11674.75335
,,,,,,,,30,11479.73982
,,,,,,,,31,10791.21906
,,,,,,,,32,10038.76146
,,,,,,,,33,9653.229769
,,,,,,,,34,9353.34817
,,,,,,,,35,9212.137112
,,,,,,,,36,9424.378033
,,,,,,,,37,9433.153727
,,,,,,,,38,9144.732734
,,,,,,,,39,11345.86537
,,,,,,,,40,12295.03629
,,,,,,,,41,13441.14458
,,,,,,,,42,14745.7482
,,,,,,,,43,15484.17497
,,,,,,,,44,15688.54501
,,,,,,,,45,15124.9464
,,,,,,,,46,15305.22464
,,,,,,,,47,14914.77897
,,,,,,,,48,14017.85761
,,,,,,,,49,13188.32347
,,,,,,,,50,12615.52484
,,,,,,,,51,12218.86087
,,,,,,,,52,11993.86152
,,,,,,,,53,11942.09512
,,,,,,,,54,11810.74283
,,,,,,,,55,11321.27922
,,,,,,,,56,10615.17688
,,,,,,,,57,9964.59946
,,,,,,,,58,9251.048243
,,,,,,,,59,9132.190886
,,,,,,,,60,9434.810924
,,,,,,,,61,10315.14012
,,,,,,,,62,11291.88119
,,,,,,,,63,11831.90071
,,,,,,,,64,12877.55249
,,,,,,,,65,14279.2492
,,,,,,,,66,15683.9959
,,,,,,,,67,16619.34482
,,,,,,,,68,16488.55912
,,,,,,,,69,15708.70623
,,,,,,,,70,15865.54072
,,,,,,,,71,15279.43042
,,,,,,,,72,14380.40434
,,,,,,,,73,13551.85798
,,,,,,,,74,12879.73094
,,,,,,,,75,12455.86275
,,,,,,,,76,12296.85101
,,,,,,,,77,12286.78497
,,,,,,,,78,12279.17009
,,,,,,,,79,12396.62126
,,,,,,,,80,12109.39764
,,,,,,,,81,11942.41679
,,,,,,,,82,11778.88459
,,,,,,,,83,11682.66899
,,,,,,,,84,11915.29733
,,,,,,,,85,12609.42554
,,,,,,,,86,13497.01717
,,,,,,,,87,14402.54541
,,,,,,,,88,15789.03428
,,,,,,,,89,16714.50774
,,,,,,,,90,17988.34549
,,,,,,,,91,18477.90718
,,,,,,,,92,18194.79356
,,,,,,,,93,17356.59425
,,,,,,,,94,17163.63722
,,,,,,,,95,16163.2176
,,,,,,,,96,15136.05344
,,,,,,,,97,14211.04867
,,,,,,,,98,13445.55414
,,,,,,,,99,13031.32745
,,,,,,,,100,12746.74671
,,,,,,,,101,12723.39514
,,,,,,,,102,12839.80988
,,,,,,,,103,12971.89114
,,,,,,,,104,12984.12255
,,,,,,,,105,12980.34434
,,,,,,,,106,12859.61528
,,,,,,,,107,12304.51478
,,,,,,,,108,11831.05821
,,,,,,,,109,12511.88697
,,,,,,,,110,13427.13332
,,,,,,,,111,14636.63903
,,,,,,,,112,15991.96829
,,,,,,,,113,17046.72262
,,,,,,,,114,17506.97014
,,,,,,,,115,17980.4876
,,,,,,,,116,17759.90192
,,,,,,,,117,16967.53579
,,,,,,,,118,17094.06646
,,,,,,,,119,16261.91809
,,,,,,,,120,15295.57203
,,,,,,,,121,14354.81005
,,,,,,,,122,13538.69724
,,,,,,,,123,13154.95701
,,,,,,,,124,12937.64407
,,,,,,,,125,12937.10647
,,,,,,,,126,13163.73131
,,,,,,,,127,13310.92099
,,,,,,,,128,13330.60747
,,,,,,,,129,13210.88262
,,,,,,,,130,13076.81063
,,,,,,,,131,12827.59919
,,,,,,,,132,12445.56373
,,,,,,,,133,12959.79627
,,,,,,,,134,14042.8425
,,,,,,,,135,14552.60167
,,,,,,,,136,15370.90872
,,,,,,,,137,16880.39428
,,,,,,,,138,17603.61987
