Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
QLD_coal,1,8126.0,824.2639330989207,1.0906523435011391e-5,7301.736077807603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_coal_ccs,1,0.0,0.0,9.340947376650897e-5,9.340947376650897e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT,1,1597.9,1084.8720809383415,3.668535601157826e-6,513.0279227301942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT_CCS,1,0.0,0.0,0.00016929758776568928,0.00016929758776568928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_OCGT,1,1988.5,1988.4932251710195,1.7241947120953242e-5,0.006792070927531313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_wind,1,826.408,1.1647171864164908e-8,18090.115232914563,18916.523232902913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_solar,1,1798.627,2.7033050837052392e-8,19501.56576178336,21300.192761756327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_biomass,1,0.0,0.0,0.00019559627977574354,0.00019559627977574354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_hydro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_PHES,1,740.0,1.751177644541051e-8,6714.495225065421,7454.49522504791,6770.0,8.074637998354324e-7,179577.30033328052,186347.30033247307,0.0,0.0,0.0,0.0
QLD_battery,1,100.0,4.728253248916815e-8,1062.7108956320958,1162.7108955848132,150.0,1.288183777765522e-7,4829.199044031374,4979.199043902556,0.0,0.0,0.0,0.0
Total,n/a,15177.435,3897.6292393117556,45368.88760551579,56648.69336620403,6920.0,9.362821776119846e-7,184406.4993773119,191326.49937637564,0.0,0.0,0.0,0.0
