BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1562615587132035e8,1.886168272859138e7,-2.4532812598298043e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0995502599974802e8
t1,6204.619558239774,7385.211680488298,-214.14461872779134,0.0,0.0,0.0,0.0,0.0,0.0,-13375.68662
t2,5334.459483415062,7645.436545402516,-164.53266881690195,0.0,0.0,0.0,0.0,0.0,0.0,-12815.36336
t3,4615.631598554844,7874.2256154387005,-131.83462399344165,0.0,0.0,0.0,0.0,0.0,0.0,-12358.02259
t4,3991.3863316141847,8240.208696055444,-80.11938766995917,0.0,0.0,0.0,0.0,0.0,0.0,-12151.47564
t5,3688.7219607627253,8340.236697738232,-61.44348850083221,0.0,0.0,0.0,0.0,0.0,0.0,-11967.51517
t6,3663.112775717373,8231.357540074598,-78.47498579193086,0.0,0.0,0.0,0.0,0.0,0.0,-11815.99533
t7,5831.270762273466,6152.323451360603,-403.6896436338648,0.0,0.0,0.0,0.0,0.0,0.0,-11579.90457
t8,9797.873956245967,1853.7738926568154,-406.4701589028567,0.0,0.0,0.0,0.0,0.0,0.0,-11245.17769
t9,13554.011737390661,414.508057909292,-2672.78544530063,0.0,0.0,0.0,0.0,0.0,0.0,-11295.73435
t10,16749.040661780124,573.4751705521492,-6280.351572331438,0.0,0.0,0.0,0.0,0.0,0.0,-11042.16426
t11,19172.2995884836,0.00044010142670232146,-8617.202078574026,0.0,0.0,0.0,0.0,0.0,0.0,-10555.09795
t12,18938.004866346844,118.06492411375186,-8499.139130459793,0.0,0.0,0.0,0.0,0.0,0.0,-10556.93066
t13,18753.467545297604,126.0259707363052,-8491.178086032438,0.0,0.0,0.0,0.0,0.0,0.0,-10388.31543
t14,18986.617834598575,132.77911074308471,-8484.424935343106,0.0,0.0,0.0,0.0,0.0,0.0,-10634.97201
t15,20119.70832083522,152.83022193953977,-8464.373822772435,0.0,0.0,0.0,0.0,0.0,0.0,-11808.16472
t16,20554.931295663082,175.77413056698592,-8441.430026223794,0.0,0.0,0.0,0.0,0.0,0.0,-12289.2754
t17,17306.969530808412,659.6393504733672,-4792.491711280831,0.0,0.0,0.0,0.0,0.0,0.0,-13174.11717
t18,13541.29708906515,954.8130204031036,-446.25740946779183,0.0,0.0,0.0,0.0,0.0,0.0,-14049.8527
t19,11177.434183328285,3893.5096938276574,-331.92420715506967,0.0,0.0,0.0,0.0,0.0,0.0,-14739.01967
t20,10177.089445993915,5106.984212421429,-321.3296384169831,0.0,0.0,0.0,0.0,0.0,0.0,-14962.74402
t21,10063.590306998236,4703.477013532708,-357.32723053060965,0.0,0.0,0.0,0.0,0.0,0.0,-14409.74009
t22,9685.259842460957,5444.713339280722,-338.62980174169377,0.0,0.0,0.0,0.0,0.0,0.0,-14791.34338
t23,8890.765866703981,5861.878127284535,-323.41667398826826,0.0,0.0,0.0,0.0,0.0,0.0,-14429.22732
t24,8682.684111050523,5454.303737523011,-337.14483857361415,0.0,0.0,0.0,0.0,0.0,0.0,-13799.84301
t25,7528.776192365006,5862.309647380748,-315.1278097460997,0.0,0.0,0.0,0.0,0.0,0.0,-13075.95803
