Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2397485664305277e7,2.5515024054293414e6,2.4948988069734618e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.24557926411205,172.43615229812943,243.68173156224148
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.58170683014733,133.75261229238126,189.3343191225286
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.26120254556866,102.77361528651065,149.0348178320793
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.655232398324507,50.78461860495504,82.43985100327956
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.62535460674006,36.257469054474704,61.882823661214765
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.46532688916961,45.24257059185455,79.70789748102416
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.62652585666316,339.8524997556716,554.4790256123348
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.17349440199166,240.7497628624719,659.9232572644636
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2936.1958047937947,160.70361454951728,3096.899419343312
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6565.730170188921,0.001545432589113025,6565.73171562151
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7598.176803573037,1086.4758564372753,8684.652660010313
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7598.176813996014,979.6692445379704,8577.846058533985
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7598.176813896066,971.7138727076842,8569.89068660375
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7598.176792479119,965.4844712643287,8563.661263743448
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7598.1767622561065,946.8476275767176,8545.024389832824
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7598.176791103632,919.3703236841558,8517.547114787789
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4978.6247565049525,114.26447826626625,5092.889234771219
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.1413650570663,160.65864544361764,803.8000105006839
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.03203760604214,161.24675364578587,513.278791251828
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.6429712135045,168.86674101295242,471.50971222645694
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.68822194759815,194.37245313727084,526.060675084869
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.8584299722332,188.21310729761237,475.0715372698455
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.7981185166227,180.50329055621438,438.3014090728371
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.9748530539784,189.48336540660128,467.4582184605797
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.94896134656904,178.3957987984579,428.34476014502695
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.52453895838732,178.87922028615623,434.40375924454355
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.89058630828123,182.55031688972736,459.4409031980086
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.6890435208265,180.7087787669993,481.39782228782576
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.4046204290987,169.47695128863035,478.88157171772906
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.28664418449443,151.75078496845967,470.03742915295413
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0783896057877,128.05385710444716,667.1322467102349
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5845.559319037822,0.0013622039860913008,5845.560681241808
