Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,4.287707259724456e6,5.150922346581288e6,0.0,0.0,0.0,0.0,9.438629606305744e6
t1,0.0,0.0,0.0,0.0,0.0,0.0007079871384121361,0.0,0.0,0.0,0.0,0.0,0.0007079871384121361
t2,0.0,0.0,0.0,0.0,0.0,0.0007816951310815057,0.0,0.0,0.0,0.0,0.0,0.0007816951310815057
t3,0.0,0.0,0.0,0.0,0.0,0.0008071288757491857,0.0,0.0,0.0,0.0,0.0,0.0008071288757491857
t4,0.0,0.0,0.0,0.0,0.0,0.0008148228494064824,0.0,0.0,0.0,0.0,0.0,0.0008148228494064824
t5,0.0,0.0,0.0,0.0,0.0,0.0008148161373355833,0.0,0.0,0.0,0.0,0.0,0.0008148161373355833
t6,0.0,0.0,0.0,0.0,0.0,0.0007907936897026957,0.0007924895757582817,0.0,0.0,0.0,0.0,0.0015832832654609774
t7,0.0,0.0,0.0,0.0,0.0,0.0007979951583365619,0.0008217344598051568,0.0,0.0,0.0,0.0,0.0016197296181417187
t8,0.0,0.0,0.0,0.0,0.0,0.0007410907114717702,0.0008075729092524853,0.0,0.0,0.0,0.0,0.0015486636207242555
t9,0.0,0.0,0.0,0.0,0.0,0.0007520210110669723,0.0006568491498910589,0.0,0.0,0.0,0.0,0.0014088701609580312
t10,0.0,0.0,0.0,0.0,0.0,0.0007131187189770571,0.0006016004972480005,0.0,0.0,0.0,0.0,0.0013147192162250576
t11,0.0,0.0,0.0,0.0,0.0,2016.6577991506792,3139.8270255864572,0.0,0.0,0.0,0.0,5156.4848247371365
t12,0.0,0.0,0.0,0.0,0.0,2530.4794092870925,4323.830291354432,0.0,0.0,0.0,0.0,6854.309700641525
t13,0.0,0.0,0.0,0.0,0.0,2786.5921798689033,4601.310117143257,0.0,0.0,0.0,0.0,7387.9022970121605
t14,0.0,0.0,0.0,0.0,0.0,2703.100847331313,3856.759975132427,0.0,0.0,0.0,0.0,6559.86082246374
t15,0.0,0.0,0.0,0.0,0.0,1644.9940476483916,2103.592028594314,0.0,0.0,0.0,0.0,3748.5860762427055
t16,0.0,0.0,0.0,0.0,0.0,175.97359818917357,271.89200163032365,0.0,0.0,0.0,0.0,447.8655998194972
t17,0.0,0.0,0.0,0.0,0.0,0.0006093445081205573,0.0007610611255586264,0.0,0.0,0.0,0.0,0.0013704056336791837
t18,0.0,0.0,0.0,0.0,0.0,0.0006329260377242463,0.0007097503739714739,0.0,0.0,0.0,0.0,0.0013426764116957202
t19,0.0,0.0,0.0,0.0,0.0,0.0006330287578748539,0.0007795706455056006,0.0,0.0,0.0,0.0,0.0014125994033804545
t20,0.0,0.0,0.0,0.0,0.0,0.0006260046357056126,0.0,0.0,0.0,0.0,0.0,0.0006260046357056126
t21,0.0,0.0,0.0,0.0,0.0,0.0006126451644377084,0.0,0.0,0.0,0.0,0.0,0.0006126451644377084
t22,0.0,0.0,0.0,0.0,0.0,0.0006141755511634983,0.0,0.0,0.0,0.0,0.0,0.0006141755511634983
t23,0.0,0.0,0.0,0.0,0.0,0.0006145382849354064,0.0,0.0,0.0,0.0,0.0,0.0006145382849354064
t24,0.0,0.0,0.0,0.0,0.0,0.0006164838796394179,0.0,0.0,0.0,0.0,0.0,0.0006164838796394179
t25,0.0,0.0,0.0,0.0,0.0,0.0006353165663313121,0.0,0.0,0.0,0.0,0.0,0.0006353165663313121
t26,0.0,0.0,0.0,0.0,0.0,0.0006483694705821108,0.0,0.0,0.0,0.0,0.0,0.0006483694705821108
t27,0.0,0.0,0.0,0.0,0.0,0.0006517309366245172,0.0,0.0,0.0,0.0,0.0,0.0006517309366245172
t28,0.0,0.0,0.0,0.0,0.0,0.0006360548404700239,0.0,0.0,0.0,0.0,0.0,0.0006360548404700239
t29,0.0,0.0,0.0,0.0,0.0,0.0006363617385432008,0.0,0.0,0.0,0.0,0.0,0.0006363617385432008
t30,0.0,0.0,0.0,0.0,0.0,0.0006351353831632878,0.0007748903756805703,0.0,0.0,0.0,0.0,0.001410025758843858
t31,0.0,0.0,0.0,0.0,0.0,0.000612002057096106,0.0007402136366181367,0.0,0.0,0.0,0.0,0.0013522156937142427
t32,0.0,0.0,0.0,0.0,0.0,0.0005839823379574227,0.0007025680333754281,0.0,0.0,0.0,0.0,0.0012865503713328508
t33,0.0,0.0,0.0,0.0,0.0,254.03179403194008,322.1940447409761,0.0,0.0,0.0,0.0,576.2258387729162
t34,0.0,0.0,0.0,0.0,0.0,1798.9622522965074,2603.604548434454,0.0,0.0,0.0,0.0,4402.566800730961
t35,0.0,0.0,0.0,0.0,0.0,2459.423879223781,4362.345397730915,0.0,0.0,0.0,0.0,6821.769276954696
t36,0.0,0.0,0.0,0.0,0.0,2691.3596230462845,5246.619803275116,0.0,0.0,0.0,0.0,7937.979426321401
t37,0.0,0.0,0.0,0.0,0.0,2900.5522346694897,5398.5754245294665,0.0,0.0,0.0,0.0,8299.127659198955
t38,0.0,0.0,0.0,0.0,0.0,3124.4420130930876,4951.252328832017,0.0,0.0,0.0,0.0,8075.694341925105
t39,0.0,0.0,0.0,0.0,0.0,1865.8533742905565,2357.0891733945027,0.0,0.0,0.0,0.0,4222.942547685059
t40,0.0,0.0,0.0,0.0,0.0,206.76673672992365,301.9117263964199,0.0,0.0,0.0,0.0,508.67846312634356
t41,0.0,0.0,0.0,0.0,0.0,0.0006089182516006986,0.0007502852195102605,0.0,0.0,0.0,0.0,0.001359203471110959
t42,0.0,0.0,0.0,0.0,0.0,0.0006381962321029278,0.000716423859103088,0.0,0.0,0.0,0.0,0.0013546200912060158
t43,0.0,0.0,0.0,0.0,0.0,0.0006401562550308881,0.0007807611733881004,0.0,0.0,0.0,0.0,0.0014209174284189885
