Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,2.2981155573017463e7,0.8922033086089202,166352.55408794363,0.513217178600876,3.339920194193821,5.468753465028085e7,3.790251173557265e7,5.104544654640955,0.0,1.70220891048794e7,2.144360601815083e6,1.349040140695387e8
t1,7.454697010170322e-5,3.8134919813117055e-5,3.233742843463685e-5,2.8149377208250588e-5,2.210514327851086e-5,6283.082590964551,0.0,0.00018703975538308926,0.0,7280.385419629274,256.9294386548229,13820.397831562243
t2,7.982110302623261e-5,3.793935018304458e-5,3.344808467651414e-5,2.8166721926124852e-5,2.261720020476313e-5,5401.918396062113,0.0,0.00018656899894809527,0.0,7358.595673462796,398.94892103615905,13159.463379122528
t3,8.167871460764304e-5,3.796113546994273e-5,3.380990981760945e-5,2.820397543615039e-5,2.275604604100449e-5,4674.000183554697,0.0,0.00018615279423399658,0.0,7402.272157799453,566.2545759153527,12642.527307832079
t4,8.392233895393106e-5,3.8030786097015105e-5,3.410572987711769e-5,2.822673742495485e-5,2.28611133453144e-5,4041.8606976125357,0.0,0.00018551683426372737,0.0,7466.914565287894,862.4260954393102,12371.20175100328
t5,8.935843626918174e-5,3.7866053252212596e-5,3.535196560175611e-5,2.8237033779161564e-5,2.3380317878480547e-5,3735.3688293777022,0.0,0.00018491887019163626,0.0,7489.8994679313055,934.9449172395301,12160.213613661215
t6,7.079455188098167e-5,3.7704417784888746e-5,3.1142529414336e-5,2.792288172708583e-5,2.1582709286433133e-5,3256.4753092727346,442.3173242163589,0.00018334791442560614,0.0,7456.337012754159,866.6954387427678,12021.825457481027
t7,6.635841882182377e-5,3.7591247175817994e-5,3.199666180237916e-5,2.7830467237593786e-5,2.2073201691560755e-5,2949.98343382972,2885.598320585209,0.00018226639371086344,0.0,6310.445818072048,96.8025250089676,12242.830465612333
t8,5.988360945250284e-5,3.793634387369964e-5,3.257362231051382e-5,2.8198494692797553e-5,2.233547421795487e-5,2911.6720072039734,6845.398617637984,0.0001870209134761815,0.0,1908.8953952231466,177.6726192509012,11843.639007264463
t9,6.064533348875052e-5,3.833024236691925e-5,3.295988878126727e-5,2.8417428124866446e-5,2.26347256356505e-5,2681.803095092515,10784.13628379078,0.0001905316466958378,0.0,408.4731718575711,270.7085450831813,14145.121469343314
t10,6.360088390826914e-5,3.8609058904619486e-5,3.417171716140255e-5,2.8724494516085922e-5,2.320035596973395e-5,2681.803133994807,13943.551458367538,0.00019004011519454687,0.0,194.9987047127042,444.9373301998374,17265.29100562151
t11,5.5529207323014594e-5,3.65168511460453e-5,3.080204979826002e-5,2.7775025862398876e-5,2.16046994607331e-5,5932.975033364414,13036.378385373439,0.0001544155446534794,0.0,0.0004250045251586005,0.0016096245549983828,18969.35578001031
t12,5.711462018859827e-5,3.6543190014549226e-5,3.17165596779458e-5,2.7771463098633567e-5,2.206958031319593e-5,6012.981417945997,12694.885818092956,0.0001503179245522187,0.0,0.00042672034397245426,106.81614024135057,18814.684128533983
t13,5.7407984866413345e-5,3.6810728826247775e-5,3.1969786602791006e-5,2.778068391141106e-5,2.2176657564924074e-5,6427.319609142567,12206.77831768226,0.0001499832514723768,0.0,0.00042656559753609683,114.7715070842355,18748.87018660375
t14,5.770211593933742e-5,3.702051668797376e-5,3.2190005294827594e-5,2.7788840208388215e-5,2.2267611844112723e-5,7277.040612284022,11666.49964449966,0.0001502005743511983,0.0,0.00043232486195142516,121.00084746523875,19064.541863743445
t15,5.977029404090686e-5,3.688978644806489e-5,3.3151604884948724e-5,2.7742708697445597e-5,2.2708369843925505e-5,8948.131148450037,11144.888705121537,0.0001506908212158825,0.0,0.0004381145178250631,139.63778719315113,20232.658409832828
t16,5.434392592494893e-5,3.652907615423018e-5,3.043462293535193e-5,2.7545477119215347e-5,2.1397206869035003e-5,10819.422174976282,9732.922542908673,0.0001539537962492091,0.0,0.00041445681369804764,167.11608824191484,20719.461544787784
t17,6.12002352421397e-5,3.856835824295334e-5,3.336106971683466e-5,2.8588377093271747e-5,2.2736549780942255e-5,11378.50999912288,6002.887965662272,0.00018720553189157383,0.0,291.31217001162116,595.7322483143258,18268.442754771222
t18,6.101479932293393e-5,3.873868214273612e-5,3.3875788675673e-5,2.8462102016472214e-5,2.287829911400686e-5,11685.001843782895,1979.8994316952383,0.0001908798007692658,0.0,777.9387745728574,448.49993460022193,14891.340360500684
t19,6.075477621819285e-5,3.889538393674034e-5,3.430767671201907e-5,2.8424004199101825e-5,2.301048265637522e-5,11167.796816022566,147.43859266466603,0.00019095866950222186,0.0,3606.2393149202003,415.12977129340516,15336.604871251831
t20,6.420580522238379e-5,3.884550127773587e-5,3.6320325692408865e-5,2.8677918649362808e-5,2.3803989106561767e-5,10305.788443617343,0.0,0.0001907947174026194,0.0,4794.460187813725,378.1195781471331,15478.368592226456
t21,5.955616329033969e-5,3.8822353183035134e-5,3.323250840748111e-5,2.8631417637926755e-5,2.2525963900779823e-5,10190.854006386235,0.0,0.00019011679399945542,0.0,4466.098443066362,306.86009274707277,14963.812915084869
t22,6.1008552727305856e-5,3.860936545974303e-5,3.4331174009755465e-5,2.8606162568688793e-5,2.2991917748023285e-5,9807.739169553915,0.0,0.00019016441050689426,0.0,5302.297969847936,312.04575215641387,15422.083267269847
t23,6.106137779202239e-5,3.8637697856272447e-5,3.449550777750456e-5,2.8580184961420502e-5,2.3042077075996844e-5,9003.198015057122,0.0,0.00019014983449194335,0.0,5750.984196107437,325.32689194160037,15079.50947907284
t24,6.137093353934727e-5,3.872396961420821e-5,3.4766901861098184e-5,2.8600153697125574e-5,2.314645544380417e-5,8792.484853695465,0.0,0.00019018646014745493,0.0,5405.188277197555,305.8707907726848,14503.54429846058
t25,6.338122501969027e-5,3.8561200329620404e-5,3.595948546512487e-5,2.8567289455512984e-5,2.363791183119061e-5,7623.984587191886,0.0,0.0001902755430342294,0.0,5753.12219806887,328.22510450161707,13705.332270145027
t26,5.851093249946085e-5,3.8281515927832176e-5,3.200183551752288e-5,2.8402889120153306e-5,2.1917282908791568e-5,6838.59916177002,0.0,0.00018932607742149887,0.0,5849.39328142512,318.58103760886837,13006.573849244543
t27,6.014203329095317e-5,3.803686746050119e-5,3.3203913667496086e-5,2.841933277663524e-5,2.251742001195924e-5,6857.754900173651,0.0,0.00018961859175257003,0.0,5469.02893568882,324.0346153973804,12650.81882319801
t28,6.0435891163917955e-5,3.804566792064455e-5,3.346606231953447e-5,2.8453219779464112e-5,2.2607627430068684e-5,7164.246784091292,0.0,0.00018986560865091266,0.0,4996.834016812149,339.5533685103097,12500.634542287828
t29,6.0750590640375136e-5,3.807607073902074e-5,3.345350042573196e-5,2.8417936834196762e-5,2.2597033202742965e-5,7164.246783784394,0.0,0.00019004921447940773,0.0,4744.972187405561,375.231197183427,12284.45054171773
t30,6.129475461132567e-5,3.799352062021144e-5,3.391706446284677e-5,2.8078213745927246e-5,2.287824645582757e-5,7011.000850889977,400.1918068911842,0.00019080118371760937,0.0,4231.146610688,433.5598357208099,12075.899479152953
t31,5.7651461019716415e-5,3.785949786107876e-5,3.0131702357050693e-5,2.8032786206940133e-5,2.1299140809720316e-5,7221.714033439366,2780.2845647950953,0.00019120225462023312,0.0,1026.7942824756599,538.0049298232714,11566.798176710234
t32,6.005150947140786e-5,3.788231303765137e-5,3.173597651401423e-5,2.8380572533070686e-5,2.208988914847052e-5,7815.54205617708,7077.089164726921,0.0001903114414459476,0.0,267.2625120185253,662.9660948675798,15822.860198241808
t33,5.554861148942346e-5,3.593394224915726e-5,3.056460571129938e-5,2.73421827445579e-5,2.158710570020214e-5,7312.486203181223,10777.884407831765,0.0001557291767716756,0.0,0.00043754809233608524,0.0012289532503451418,18090.372604219956
t34,5.670040568145205e-5,3.640477228282813e-5,3.133586575903834e-5,2.756672754925573e-5,2.195769598851665e-5,5786.711486681752,11508.44965123108,0.0001521320761539032,0.0,0.00045096071058521613,200.12203068362507,17495.28394565471
t35,5.9118832142109816e-5,3.663220395408852e-5,3.2597566939036936e-5,2.7705322911746746e-5,2.244574514639022e-5,5451.897469761119,11708.546175918043,0.00015205686266906815,0.0,0.0004587310953594963,232.98036567601756,17393.424800642806
t36,5.498388525282413e-5,3.667446331458255e-5,3.064012524545853e-5,2.7806165888872434e-5,2.1475164104634728e-5,5679.699528300935,11624.656933936963,0.0001522957590381173,0.0,0.0004426991840635354,242.295380534515,17546.652609347155
t37,5.711402112446696e-5,3.667964336835465e-5,3.168265482009948e-5,2.7839020929287155e-5,2.2032113285335385e-5,6140.957878456112,11262.073638060738,0.00015247406944091568,0.0,0.0004489868086721962,252.72399801433463,17655.756291339516
t38,5.7493672546855867e-5,3.6913964587222586e-5,3.1946330445765e-5,2.7858527682810428e-5,2.214278284837718e-5,6740.764995931669,10487.75622095132,0.0001522531828860276,0.0,0.0004499263677973618,233.39099213437012,17461.912987552187
t39,5.769416658179822e-5,3.704834202515435e-5,3.209442289765031e-5,2.7821795133265643e-5,2.225445512653899e-5,8669.804596512582,10807.140490472599,0.0001523542202592253,0.0,0.00044781334117378674,216.5257405459563,19693.47160461188
t40,5.928767164918786e-5,3.689804359592873e-5,3.3004808366848446e-5,2.7692137230796027e-5,2.2624844211164373e-5,10788.629036435532,9576.526213369452,0.00015595271481849747,0.0,0.00043682667352414246,263.59128236925835,20628.74730446114
t41,5.966836584764485e-5,3.876556954275092e-5,3.250019681233461e-5,2.8687204520800772e-5,2.2304502899362367e-5,11627.534642495391,5855.4486042028675,0.0001886889717658618,0.0,295.4569767043761,600.1909987779173,18378.631592795366
t42,6.11197665305427e-5,3.8640627287085064e-5,3.384092785751661e-5,2.854095493567854e-5,2.287996281134367e-5,12144.739640875021,2106.276029794877,0.00019233341297065284,0.0,850.2202692804921,446.0313896547021,15547.267706960743
t43,6.082350238083078e-5,3.8785910278923746e-5,3.425868819819882e-5,2.8484320034605215e-5,2.301059512671722e-5,11646.690353022484,168.50135893632552,0.00019231752290093632,0.0,3856.1525764467383,411.15665530115325,16082.50132138724
t44,6.183057009139626e-5,3.891175889407777e-5,3.493499361809178e-5,2.8676941105681687e-5,2.3221832484989093e-5,10248.321220815436,0.0,0.00019190946029326193,0.0,5528.7401183498705,389.1395012508576,16166.201219901723
t45,6.436666871465635e-5,3.8967490836100464e-5,3.681668574948382e-5,2.875040292310175e-5,2.3992851786470347e-5,10248.321218582854,0.0,0.00019215934212189062,0.0,5027.475009461054,347.4845537334609,15623.281166830811
t46,5.963407156111975e-5,3.8908744908460125e-5,3.340933495528094e-5,2.8655092492311e-5,2.2599742477533372e-5,10305.788453184206,0.0,0.00019130149570614947,0.0,5331.1596455737335,301.5296922436312,15938.478165510052
t47,6.106487148719594e-5,3.862939514983997e-5,3.435562387203107e-5,2.8619228800301098e-5,2.300135125609541e-5,9673.64897701842,0.0,0.00019135258782619754,0.0,5592.612507765321,314.15920688802834,15580.42106869483
t48,6.096960119646351e-5,3.859783792796293e-5,3.43626177714924e-5,2.856838129718263e-5,2.2985062502552e-5,8447.681503083404,0.0,0.00019135496563986107,0.0,5893.216007706881,335.64026453406734,14676.538152162819
t49,6.118769648784519e-5,3.867594987202143e-5,3.456642335055929e-5,2.857926710153494e-5,2.306173575416384e-5,8026.255178000383,0.0,0.00019141697054777477,0.0,5500.12687597201,318.4068027492182,13844.789234209653
t50,6.348960659844933e-5,3.8517279496183424e-5,3.5906400433106613e-5,2.8598019154275997e-5,2.362278949831423e-5,7681.451816600782,0.0,0.00019157254890227074,0.0,5226.4230738727265,325.4135644535033,13233.288836633656
t51,5.847986351680803e-5,3.821858518615823e-5,3.189474260874319e-5,2.8430916737824918e-5,2.1866366092132165e-5,7030.156595916796,0.0,0.00019061620203322457,0.0,5458.90066441193,326.94460448402674,12816.002234319429
t52,6.0164622171673206e-5,3.796111486783013e-5,3.3064190078082174e-5,2.8431904565755727e-5,2.2447277912257765e-5,7106.7795613924745,0.0,0.0001908019863893169,0.0,5138.531334201082,356.21434287006815,12601.52561133472
t53,6.045388436248393e-5,3.7932411744082096e-5,3.3076442046331824e-5,2.8399453215767484e-5,2.2441754139098904e-5,7336.648466462122,0.0,0.0001908967121920629,0.0,4815.896672600234,395.362167840436,12547.90768010345
t54,5.9751692925763295e-5,3.8103489422556435e-5,3.2762203111097666e-5,2.7992061183594282e-5,2.24759394982351e-5,6187.30391824832,421.25457299176935,0.00019139337121482894,0.0,5267.533605843737,482.89652789668287,12358.988997459266
t55,6.193839384299634e-5,3.823921031824814e-5,3.39871310779126e-5,2.8213054319448932e-5,2.2997498180876214e-5,8083.722414487498,2822.410101597303,0.00019262662241283568,0.0,779.353577489569,528.7583323971571,12214.244803973439
t56,5.904293036250593e-5,3.835469421994286e-5,3.141003050047999e-5,2.8612576924159314e-5,2.1908722920802452e-5,10190.854027819056,6866.461439359785,0.00018914035437374505,0.0,101.98140563459489,455.94368036528624,17615.24092164803
t57,5.629375485873564e-5,3.628431510521474e-5,3.112303260419122e-5,2.7583075662053063e-5,2.1746989629292175e-5,9326.707591694405,9075.585006863626,0.0001554089155643033,0.0,0.0004258471354132271,0.0012487997259987274,18402.294601644975
t58,5.706240712940796e-5,3.664045264862369e-5,3.162672391741702e-5,2.7720471690393584e-5,2.2002191976193986e-5,7434.895205192509,9908.866755091485,0.00015179166397492232,0.0,0.00042795903261418793,124.78601508202452,17468.54873016896
