Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
QLD_coal,1,8126.0,920.436350056964,2.029431842574656e-6,7205.563651972468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_coal_ccs,1,0.0,0.0,6.871782139923981e-6,6.871782139923981e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT,1,1597.9,834.2226888519758,2.655191408218052e-5,763.6773376999383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT_CCS,1,0.0,0.0,1.2425722661601157e-5,1.2425722661601157e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_OCGT,1,1988.5,1988.4997651408164,1.3463769922099914e-6,0.0002362055606681679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_wind,1,826.408,8.152825332861117e-10,17253.64358467934,18080.051584678524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_solar,1,1798.627,1.95569221848327e-9,20195.90788158823,21994.534881586274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_biomass,1,0.0,0.0,1.3438601966715326e-5,1.3438601966715326e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_hydro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_PHES,1,740.0,1.2495693190460355e-9,6389.981414669619,7129.981414668369,6770.0,5.774870071447168e-8,153590.81934702335,160360.8193469656,0.0,0.0,0.0,0.0
QLD_battery,1,100.0,3.3245513586939864e-9,1197.0177757785332,1297.0177757752085,150.0,9.110063326112441e-9,5086.481099011691,5236.481099002581,0.0,0.0,0.0,0.0
Total,n/a,15177.435,3743.158804057102,45036.55071937956,56470.826915322454,6920.0,6.685876404058412e-8,158677.30044603505,165597.3004459682,0.0,0.0,0.0,0.0
