Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1094043079409447e7,2.913992120316265e6,2.400803519972571e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.956756200439743e-9,2.920411816965009e-9,4.877168017404752e-9
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9610642761707984e-9,2.88733976492785e-9,4.848404041098649e-9
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9538390436892088e-9,2.8507045650090014e-9,4.80454360869821e-9
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.916819065062356e-9,2.723353530778268e-9,4.640172595840624e-9
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8032839907628717e-9,2.472754683035966e-9,4.276038673798838e-9
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8772082514974734e-9,2.5901805564800428e-9,4.467388807977516e-9
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.218079027142955e-9,3.4073589147393086e-9,5.6254379418822634e-9
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9654173018320996e-9,2.0870231070056605e-9,4.05244040883776e-9
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2713.9863677137196,6.352200508218803e-9,2713.986367720072
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5979.501819719452,8.514320417289367e-10,5979.5018197203035
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7282.667130935544,1310.559472197858,8593.226603133402
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7282.667130935523,1176.008803470471,8458.675934405994
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7282.667130935542,1162.5638166226906,8445.230947558233
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7282.667130935496,1156.7159553181355,8439.38308625363
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7282.667130935483,1126.5672621238439,8409.234393059327
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7282.667130935495,1023.8329162770552,8306.50004721255
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3864.233748173452,5.072700803220835e-9,3864.233748178525
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.927730171853604e-9,2.889010015645708e-9,4.816740187499312e-9
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.981647345606556e-9,2.875860657622087e-9,4.857508003228643e-9
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9834392096176816e-9,2.8553649837113268e-9,4.838804193329008e-9
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0733005447955753e-9,3.0034356735890615e-9,5.076736218384637e-9
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04487164312456e-9,2.944458118269222e-9,4.989329761393782e-9
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0378551421218962e-9,2.91557533272033e-9,4.953430474842226e-9
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0161214665221084e-9,2.8583654314536608e-9,4.874486897975769e-9
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.982793996951309e-9,2.8164174351478713e-9,4.7992114320991805e-9
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0890200230807275e-9,3.0221873243915188e-9,5.111207347472246e-9
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.046424576228037e-9,2.9728865725094826e-9,5.01931114873752e-9
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0209098751621466e-9,2.9386513850812174e-9,4.959561260243364e-9
