BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1548258042286852e8,1.8480480777149163e7,-2.400803519972569e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0995502600029194e8
t1,5969.483612116454,6630.498317888422,-4.877168017404752e-9,0.0,0.0,0.0,0.0,0.0,0.0,-12599.98193
t2,5132.2999348076355,7092.992005197211,-4.848404041098649e-9,0.0,0.0,0.0,0.0,0.0,0.0,-12225.29194
t3,4440.713418769941,7431.281121234862,-4.80454360869821e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11871.99454
t4,3840.1251285266976,7969.84578147794,-4.640172595840624e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11809.97091
t5,3548.9308059845675,8202.388234019709,-4.276038673798838e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11751.31904
t6,3554.5498832908406,8164.628466713628,-4.467388807977516e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11719.17835
t7,5807.678604956686,5783.3873350489375,-5.6254379418822634e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11591.06594
t8,9894.83735180374,1267.711928200314,-4.05244040883776e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11162.54928
t9,13778.06582771501,5.063565890036845e-9,-2713.986367720072,0.0,0.0,0.0,0.0,0.0,0.0,-11064.07946
t10,17068.138729708222,1.2078919124179407e-8,-5979.5018197203035,0.0,0.0,0.0,0.0,0.0,0.0,-11088.63691
t11,19913.94912313204,1.3351199271930351e-9,-8593.226603133402,0.0,0.0,0.0,0.0,0.0,0.0,-11320.72252
t12,20019.262345656665,134.5506687493358,-8458.675934405994,0.0,0.0,0.0,0.0,0.0,0.0,-11695.13708
t13,20054.170991961277,147.99565559692903,-8445.230947558233,0.0,0.0,0.0,0.0,0.0,0.0,-11756.9357
t14,19996.00083935213,153.84351690150265,-8439.38308625363,0.0,0.0,0.0,0.0,0.0,0.0,-11710.46127
t15,20509.90741296409,183.99221009520534,-8409.234393059327,0.0,0.0,0.0,0.0,0.0,0.0,-12284.66523
t16,20468.952281273647,286.7265559441023,-8306.50004721255,0.0,0.0,0.0,0.0,0.0,0.0,-12449.17879
t17,17061.72773816638,1.2141422262246031e-8,-3864.233748178525,0.0,0.0,0.0,0.0,0.0,0.0,-13197.49399
t18,13163.562565504473,945.9182545032511,-4.816740187499312e-9,0.0,0.0,0.0,0.0,0.0,0.0,-14109.48082
t19,10763.92986305855,4081.336686949159,-4.857508003228643e-9,0.0,0.0,0.0,0.0,0.0,0.0,-14845.26655
t20,9791.409095482843,5271.754934523586,-4.838804193329008e-9,0.0,0.0,0.0,0.0,0.0,0.0,-15063.16403
