Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98400.04248999088,4191.834433471
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91513.0917015727,3967.082628971288
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84467.52343013958,3546.343223683197
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77355.29312426402,2610.847749891396
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70211.30537136775,1456.3339990105765
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63092.29706247704,315.7611516483626
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57388.89868681871,228.50840075002438
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56330.67183500057,9.450725309582925e-9
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58393.301474460895,1.2041372892734745e-8
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62937.72285744523,2.312390821260924e-9
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68472.54987695596,1201.4553961385461
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74007.3768964666,2132.7922616475325
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79542.20391597733,3037.1375103518776
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85077.03093548802,3929.7428270462115
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90611.85795499869,4761.822835451904
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96146.6849745094,5387.657488071388
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99083.50262311917,5387.657488079131
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98620.65757945906,4860.7164345321025
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95005.30763220527,4352.41347331972
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90114.51905015908,3936.8515944285364
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85550.38553887777,3629.1588491994053
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81247.01420713711,3340.2304424258864
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76535.9226240423,3055.861451722159
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72167.83496736764,2775.6573443913403
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67376.8848406546,2485.671590315329
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62304.10136639509,2205.0321858787397
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57526.05244471186,1903.5780474172316
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53099.044341178145,1568.9499186559706
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48808.37922903833,1174.9223010549053
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44965.196620772454,671.0471595272579
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44534.52905291785,6.409071205296251e-9
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48212.23401490174,1.880152922240086e-9
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53747.06103441242,1201.455396140871
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59281.888053923125,1876.9579926748497
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64816.7150734338,2481.820183054481
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70351.54209294457,3094.3056283770325
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75886.36911245532,3687.795232589604
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81421.19613196606,4324.2512131743115
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86956.02315147675,4975.452341050392
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92490.8501709874,5387.657488071262
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95287.85157084044,5387.657488068324
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94725.53792053861,4830.138312391592
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90824.07566089332,4341.34118233615
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85187.9778667239,3887.5019940892016
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80008.34144489407,3530.608840923205
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75649.37940479178,3257.9337556590567
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71081.4905170003,2982.5456597005477
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66170.87213865531,2698.9845944317503
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61639.68759212815,2412.2422416654586
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57189.28786447705,2109.2622431550008
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52411.32158890736,1805.0451380356283
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47834.62525792757,1454.9719500645467
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43464.14274787044,1036.2812556674821
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38604.81505364625,445.2803257271895
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38305.84751174823,6.924565084609222e-9
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43097.16264051163,1.8799712961914413e-9
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48631.9896600223,1201.4553961387371
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54166.81667953305,2061.9166889627795
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59701.64369904379,2891.368453144574
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65236.47071855451,3699.6758909942955
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70771.29773806524,4547.225656993892
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76306.12475757598,5387.657488071061
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81416.07741221371,5387.657488057592
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84317.07422208216,5387.657488056767
