Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,0,1,0,2000,1,8760,1,1,12772.5983
,,,,,,,,2,12351.06633
,,,,,,,,3,11951.61294
,,,,,,,,4,11739.61695
,,,,,,,,5,11575.06843
,,,,,,,,6,11437.62876
,,,,,,,,7,11254.56407
,,,,,,,,8,11429.56346
,,,,,,,,9,12038.27099
,,,,,,,,10,12069.97883
,,,,,,,,11,11366.28215
,,,,,,,,12,11517.20808
,,,,,,,,13,11016.32298
,,,,,,,,14,11037.24607
,,,,,,,,15,12169.75668
,,,,,,,,16,12551.35825
,,,,,,,,17,13169.8082
,,,,,,,,18,13936.78985
,,,,,,,,19,14486.10063
,,,,,,,,20,14830.39962
,,,,,,,,21,14325.70384
,,,,,,,,22,14324.33852
,,,,,,,,23,13793.28524
,,,,,,,,24,13091.11392
,,,,,,,,25,12472.86971
,,,,,,,,26,11953.10736
,,,,,,,,27,11649.49837
,,,,,,,,28,11470.09177
,,,,,,,,29,11282.30661
,,,,,,,,30,11101.37326
,,,,,,,,31,10465.87856
,,,,,,,,32,10223.14723
,,,,,,,,33,10395.76642
,,,,,,,,34,10381.16274
,,,,,,,,35,10023.32131
,,,,,,,,36,10384.65545
,,,,,,,,37,10061.16128
,,,,,,,,38,9547.006795
,,,,,,,,39,11707.45732
,,,,,,,,40,12557.11914
,,,,,,,,41,13436.83561
,,,,,,,,42,14632.68535
,,,,,,,,43,15231.25593
,,,,,,,,44,15556.20061
,,,,,,,,45,15040.91016
,,,,,,,,46,14838.21977
,,,,,,,,47,14278.83689
,,,,,,,,48,13309.12853
,,,,,,,,49,12587.04207
,,,,,,,,50,12151.53765
,,,,,,,,51,11813.28181
,,,,,,,,52,11581.40562
,,,,,,,,53,11549.34056
,,,,,,,,54,11433.65938
,,,,,,,,55,10994.51275
,,,,,,,,56,10798.64489
,,,,,,,,57,10705.47589
,,,,,,,,58,10278.17591
,,,,,,,,59,9942.751186
,,,,,,,,60,10394.88646
,,,,,,,,61,10942.81985
,,,,,,,,62,11693.55083
,,,,,,,,63,12192.50217
,,,,,,,,64,13138.18516
,,,,,,,,65,14275.5051
,,,,,,,,66,15570.80727
,,,,,,,,67,16367.42721
,,,,,,,,68,16358.37284
,,,,,,,,69,15625.44585
,,,,,,,,70,15399.93594
,,,,,,,,71,14643.93906
,,,,,,,,72,13671.01405
,,,,,,,,73,12950.57658
,,,,,,,,74,12415.74375
,,,,,,,,75,12050.2837
,,,,,,,,76,11884.39511
,,,,,,,,77,11894.03041
,,,,,,,,78,11902.08664
,,,,,,,,79,12069.85479
,,,,,,,,80,12292.86565
,,,,,,,,81,12683.29322
,,,,,,,,82,12806.01226
,,,,,,,,83,12493.22929
,,,,,,,,84,12875.37287
,,,,,,,,85,13237.10528
,,,,,,,,86,13898.68681
,,,,,,,,87,14763.14688
,,,,,,,,88,16049.66695
,,,,,,,,89,16710.76364
,,,,,,,,90,17875.15686
,,,,,,,,91,18225.98956
,,,,,,,,92,18064.60728
,,,,,,,,93,17273.33387
,,,,,,,,94,16698.03244
,,,,,,,,95,15527.72625
,,,,,,,,96,14426.66314
,,,,,,,,97,13609.76727
,,,,,,,,98,12981.56695
,,,,,,,,99,12625.74839
,,,,,,,,100,12334.2908
,,,,,,,,101,12330.64058
,,,,,,,,102,12462.72643
,,,,,,,,103,12645.12467
,,,,,,,,104,13167.59056
,,,,,,,,105,13721.22077
,,,,,,,,106,13886.74295
,,,,,,,,107,13115.07508
,,,,,,,,108,12791.13375
,,,,,,,,109,13139.56671
,,,,,,,,110,13828.80295
,,,,,,,,111,14997.24049
,,,,,,,,112,16252.60096
,,,,,,,,113,17042.97852
,,,,,,,,114,17393.78151
,,,,,,,,115,17728.56999
,,,,,,,,116,17629.71564
,,,,,,,,117,16884.27541
,,,,,,,,118,16628.46168
,,,,,,,,119,15626.42673
,,,,,,,,120,14586.18174
,,,,,,,,121,13753.52865
,,,,,,,,122,13074.71006
,,,,,,,,123,12749.37795
,,,,,,,,124,12525.18817
,,,,,,,,125,12544.35191
,,,,,,,,126,12786.64786
,,,,,,,,127,12984.15452
,,,,,,,,128,13514.07547
,,,,,,,,129,13951.75905
,,,,,,,,130,14103.9383
,,,,,,,,131,13638.15949
,,,,,,,,132,13405.63926
,,,,,,,,133,13587.47601
,,,,,,,,134,14444.51213
,,,,,,,,135,14913.20314
,,,,,,,,136,15631.54139
,,,,,,,,137,16876.65018
,,,,,,,,138,17490.43124
,,,,,,,,139,17630.39306
,,,,,,,,140,17501.58451
,,,,,,,,141,16919.75394
,,,,,,,,142,16483.37488
,,,,,,,,143,15654.65545
,,,,,,,,144,14589.55269
,,,,,,,,145,13853.27104
,,,,,,,,146,13303.25673
,,,,,,,,147,12964.5869
,,,,,,,,148,12732.42371
,,,,,,,,149,12793.00603
,,,,,,,,150,13048.46228
,,,,,,,,151,13596.56928
,,,,,,,,152,14287.19336
,,,,,,,,153,15106.24899
,,,,,,,,154,15004.42198
,,,,,,,,155,14542.52551
,,,,,,,,156,14391.96927
,,,,,,,,157,14446.60546
,,,,,,,,158,14883.12261
,,,,,,,,159,15674.11914
