Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,4.0294582720901794e6,4.987785055932909e6,0.0,0.0,0.0,0.0,9.01724332802309e6
t1,0.0,0.0,0.0,0.0,0.0,0.00015295182492991444,0.0,0.0,0.0,0.0,0.0,0.00015295182492991444
t2,0.0,0.0,0.0,0.0,0.0,0.00016200631853280356,0.0,0.0,0.0,0.0,0.0,0.00016200631853280356
t3,0.0,0.0,0.0,0.0,0.0,0.00016488022083649412,0.0,0.0,0.0,0.0,0.0,0.00016488022083649412
t4,0.0,0.0,0.0,0.0,0.0,0.0001657687062106561,0.0,0.0,0.0,0.0,0.0,0.0001657687062106561
t5,0.0,0.0,0.0,0.0,0.0,0.00016567710144954617,0.0,0.0,0.0,0.0,0.0,0.00016567710144954617
t6,0.0,0.0,0.0,0.0,0.0,0.00016265925296465866,0.00016106027084106245,0.0,0.0,0.0,0.0,0.0003237195238057211
t7,0.0,0.0,0.0,0.0,0.0,0.00016520969347766368,0.00016937691543716937,0.0,0.0,0.0,0.0,0.00033458660891483305
t8,0.0,0.0,0.0,0.0,0.0,0.00015972828941812622,0.00017050311907951254,0.0,0.0,0.0,0.0,0.00033023140849763877
t9,0.0,0.0,0.0,0.0,0.0,0.00016027895208026166,0.00015141938638407737,0.0,0.0,0.0,0.0,0.00031169833846433903
t10,0.0,0.0,0.0,0.0,0.0,0.00015836402008062578,0.00014282172014645766,0.0,0.0,0.0,0.0,0.00030118574022708344
t11,0.0,0.0,0.0,0.0,0.0,1785.2449691100992,2988.1364651304375,0.0,0.0,0.0,0.0,4773.381434240537
t12,0.0,0.0,0.0,0.0,0.0,2249.7299755327595,4150.475499468092,0.0,0.0,0.0,0.0,6400.205475000851
