Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,2.2908896836097576e7,0.21528181700968124,174428.43765384238,0.11716144924998571,0.41638725673558985,5.314369178122575e7,3.918961111983926e7,1.1927935951913713,0.0,1.5881221435827995e7,2.3515577622863613e6,1.3364940931455491e8
t1,1.4691891974050513e-5,9.333641714265936e-6,7.117931153550874e-6,6.6454281088261416e-6,5.269471498175524e-6,6091.092526186552,0.0,4.580361302711404e-5,0.0,6836.459771045949,182.79117337800022,13110.343559472478
t2,1.5197278797132851e-5,9.305633024185806e-6,7.188391736890717e-6,6.647835297543149e-6,5.344002949069037e-6,5236.85390969192,0.0,4.570098503827165e-5,0.0,6999.293613331503,370.8079815363665,12606.955593943916
t3,1.5328722454017186e-5,9.303763011702064e-6,7.213940937771085e-6,6.654475377732246e-6,5.364993415833122e-6,4531.178535454425,0.0,4.56207048643072e-5,0.0,7040.138210030532,600.3342697051269,12171.651104676683
t4,1.5477543278512598e-5,9.31021722290032e-6,7.234091436965401e-6,6.659603351044463e-6,5.381182609098109e-6,3918.355185750189,0.0,4.5530847797285865e-5,0.0,7077.8859417694675,941.8896975727419,11938.130914685884
t5,1.6221411215715568e-5,9.281325871085592e-6,7.305014976293388e-6,6.661885040829943e-6,5.453814375038785e-6,3621.228713688702,0.0,4.5504922060522075e-5,0.0,7093.15872991895,1041.3633415561037,11755.750875592128
t6,1.4401757984712643e-5,9.268534785184808e-6,7.041577184583844e-6,6.607353979592764e-6,5.192768849855092e-6,3156.968603967345,453.8652063376625,4.5259960208588e-5,0.0,7065.827196644349,944.3216152958461,11620.982710017157
t7,1.4499641654104932e-5,9.216610529078375e-6,7.074101285000616e-6,6.548860997758827e-6,5.249436991168844e-6,2859.8421292638127,2960.931036981031,4.458107155325082e-5,0.0,5708.319975384571,72.14942719727571,11601.242655996413
t8,1.4420131033132623e-5,9.278801867016758e-6,7.132424944538739e-6,6.601387982609384e-6,5.286697506160414e-6,2822.7013257260805,7024.106705893469,4.589888732919888e-5,0.0,1540.8569481300044,129.6873485524222,11517.352416920306
