Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.292782880007846e-7,-8.411070428609129e-7
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.294587957834444e-7,-8.800507655314769e-7
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.295698960256581e-7,-9.02311341401912e-7
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.296154649925871e-7,-9.08980858780874e-7
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.295967358233626e-7,-8.960872107384727e-7
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.291014191736945e-7,-7.829148030744004e-7
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.289579428992866e-7,-6.58818523127827e-7
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.287876263288926e-7,-5.364522871708383e-7
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.286133067420444e-7,-3.8896277783884306e-7
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.284553699461767e-7,2.1378507973230154
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.278851532608578e-7,5.436697709843287
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.278161592025673e-7,5.436697738801324
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.277936639759543e-7,5.436697747592681
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.278168752520545e-7,5.436697745800269
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.278860952542552e-7,5.436697732030995
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.276688619702184e-7,5.436697693994855
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.27835672157882e-7,-3.8495069726801504e-7
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.280325512749723e-7,-4.917234340373403e-7
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.282185890657755e-7,-5.386882011556807e-7
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.283689968835738e-7,-5.64358703234415e-7
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.281468806564961e-7,-5.711427555999123e-7
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.282164111789619e-7,-5.822778858089539e-7
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.282414972332033e-7,-5.8928366984727e-7
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.282221402595428e-7,-5.929392555967687e-7
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.281580681366215e-7,-5.938425416467385e-7
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.276140533979481e-7,-5.770446896741581e-7
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.274518407334e-7,-5.704548079105598e-7
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.272424568600204e-7,-5.590963326166022e-7
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.269858863805707e-7,-5.4078932880419e-7
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.266836290862566e-7,-5.086936980886404e-7
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.257670351547059e-7,-3.840382918340879e-7
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.254494948711867e-7,2.7506364229071227
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.251799925512214e-7,5.43669782730011
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.249703170296693e-7,5.436697861612794
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.24814382000102e-7,5.436697875207349
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.242616405384669e-7,5.436697895169604
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.242028872355228e-7,5.436697892522834
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.241903989052672e-7,5.436697881900858
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.242240461449025e-7,5.436697857366058
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.243044764157184e-7,5.436697782104863
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.24103508144204e-7,-3.8269785789418607e-7
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.242579633333765e-7,-4.913744538737907e-7
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.243999712198415e-7,-5.371704078830065e-7
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.245039730939198e-7,-5.621542801683175e-7
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.245625602574516e-7,-5.774967221373265e-7
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.24212461320296e-7,-5.772651320343517e-7
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.241846392005113e-7,-5.835929450245982e-7
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.241100483019838e-7,-5.86469423404987e-7
